patch_id,city_code,entropy_normalised,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,distance_to_center_km
chicago_0280,chicago,0.435397,165,105,46,0.494012,0.314371,0.137725,3.1737,46.57,24680.64,0.297134,521.87,38.5635,1.008825,9.732
houston_0670,houston,0.396687,26,49,29,0.232143,0.4375,0.258929,2.6429,88.18,13051.16,0.16895,175.0,20.3924,1.003426,5.485
chicago_0199,chicago,0.443374,265,163,14,0.576087,0.354348,0.030435,3.5087,37.74,30459.89,0.380328,718.75,47.5936,1.022224,11.125
chicago_0720,chicago,0.433017,238,198,12,0.506383,0.421277,0.025532,3.4213,34.02,27349.34,0.358289,734.37,42.7333,1.005149,18.899
chicago_0488,chicago,0.424508,240,128,10,0.615385,0.328205,0.025641,3.5487,38.88,26901.7,0.390968,609.37,42.0339,1.008579,12.453
detroit_0053,detroit,0.398909,61,52,2,0.495935,0.422764,0.01626,3.3984,69.17,14456.01,0.360996,192.19,22.5875,1.000121,13.167
chicago_0719,chicago,0.393433,316,119,6,0.685466,0.258134,0.013015,3.6226,34.67,28950.67,0.408942,720.31,45.2354,1.000875,19.699
chicago_0077,chicago,0.400671,174,103,17,0.566775,0.335505,0.055375,3.4137,43.34,22711.33,0.357964,479.69,35.4865,1.004632,17.536
chicago_0067,chicago,0.408956,335,125,5,0.706751,0.263713,0.010549,3.6667,35.46,30813.15,0.419936,740.62,48.1456,1.012491,16.706
chicago_0506,chicago,0.403273,174,114,44,0.501441,0.32853,0.126801,3.2046,44.68,24843.83,0.30479,542.19,38.8185,1.001248,5.066
chicago_0082,chicago,0.428495,265,158,24,0.574837,0.342733,0.052061,3.4403,33.61,26651.74,0.363141,720.31,41.6433,1.00963,17.024
chicago_0892,chicago,0.402798,286,151,9,0.62039,0.327549,0.019523,3.5705,37.26,30663.27,0.395856,720.31,47.9114,1.007133,17.105
chicago_0576,chicago,0.401665,293,118,6,0.679814,0.273782,0.013921,3.6195,34.62,27000.37,0.408401,673.44,42.1881,1.00165,21.466
detroit_0294,detroit,0.428618,233,111,9,0.606771,0.289062,0.023438,3.4792,39.78,26572.52,0.373526,600.0,41.5196,1.002226,7.598
chicago_0303,chicago,0.401415,269,138,8,0.625581,0.32093,0.018605,3.5674,39.61,30384.06,0.395322,671.87,47.4751,1.008161,13.215
detroit_0533,detroit,0.441033,29,73,22,0.208633,0.52518,0.158273,2.8058,61.76,12042.57,0.208791,217.19,18.8165,1.023715,12.257
chicago_0244,chicago,0.439644,236,103,27,0.621053,0.271053,0.071053,3.4421,40.59,26548.29,0.364238,593.75,41.4817,1.002679,14.045
detroit_0063,detroit,0.41226,209,121,5,0.607558,0.351744,0.014535,3.5523,38.31,23404.62,0.392387,537.5,36.5697,1.002764,15.941
fez_0015,fez,0.440896,16,31,5,0.253968,0.492063,0.079365,2.9206,73.83,6792.32,0.247934,98.44,10.613,0.999783,5.073
chicago_0156,chicago,0.434325,154,81,7,0.592308,0.311538,0.026923,3.4692,36.24,16343.32,0.372816,406.25,25.5364,1.00409,13.163
chicago_0767,chicago,0.433225,234,116,5,0.630728,0.312668,0.013477,3.5687,40.24,26641.72,0.396201,579.69,41.6277,1.008592,14.905
chicago_0329,chicago,0.427227,264,141,11,0.608295,0.324885,0.025346,3.5161,37.22,28395.57,0.382387,678.12,44.3681,1.005172,12.419
lasvegas_0105,lasvegas,0.421459,9,52,30,0.087379,0.504854,0.291262,2.3883,71.93,8846.86,0.104478,160.94,13.8232,1.011586,16.19
chicago_0269,chicago,0.404057,334,136,4,0.683027,0.278119,0.00818,3.636,36.73,32653.25,0.412127,764.06,51.0207,1.004425,9.066
chicago_0228,chicago,0.444444,141,122,28,0.453376,0.392283,0.090032,3.209,40.05,19983.29,0.306321,485.94,31.2239,1.008424,9.319
chicago_0696,chicago,0.442631,275,178,49,0.528846,0.342308,0.094231,3.3192,35.43,30576.89,0.332367,812.5,47.7764,1.012946,3.846
chicago_0394,chicago,0.412077,313,125,17,0.665957,0.265957,0.03617,3.5617,37.75,31594.56,0.393583,734.37,49.3665,1.005212,10.33
chicago_0304,chicago,0.431071,259,121,10,0.644279,0.300995,0.024876,3.5721,40.25,28901.6,0.396746,628.12,45.1588,1.002846,12.563
cairo_2083,cairo,0.433134,3,38,20,0.041096,0.520548,0.273973,2.3288,63.01,5356.01,0.092199,114.06,8.3688,1.017961,60.369
chicago_0166,chicago,0.437038,203,104,16,0.595308,0.304985,0.046921,3.4487,45.57,26794.29,0.366322,532.81,41.8661,1.005685,11.842
chicago_0536,chicago,0.434048,287,120,11,0.675294,0.282353,0.025882,3.6141,37.43,28749.98,0.407101,664.06,44.9218,1.01036,13.742
detroit_0551,detroit,0.43724,35,61,8,0.289256,0.504132,0.066116,3.0413,67.37,12396.34,0.270042,189.06,19.3693,1.007738,11.519
