patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used
chicago_0280,chicago,280,41.920998,-87.724691,439508.44,4640858.65,440308.44,4641658.65,EPSG:32616,1204,341,341,8,334,0.9795,1.560253,0.435397,1.617867,0.451474,0.993732,1056
houston_0670,houston,670,29.797238,-95.403615,267272.3,3298340.6,268072.3,3299140.6,EPSG:32615,376,115,115,4,112,0.9739,1.421535,0.396687,1.314788,0.366899,0.999743,296
chicago_0199,chicago,199,41.920874,-87.743985,437908.44,4640858.65,438708.44,4641658.65,EPSG:32616,1740,465,465,6,460,0.9892,1.588838,0.443374,1.671542,0.466453,0.991503,1602
chicago_0720,chicago,720,41.705412,-87.62611,447508.44,4616858.65,448308.44,4617658.65,EPSG:32616,1826,470,470,1,470,1.0,1.551725,0.433017,1.521583,0.424606,0.994331,1600
chicago_0488,chicago,488,41.769986,-87.674863,443508.44,4624058.65,444308.44,4624858.65,EPSG:32616,1534,392,392,3,390,0.9949,1.521231,0.424508,1.553469,0.433504,0.996229,1380
detroit_0053,detroit,53,42.338022,-83.206166,317856.5,4689264.74,318656.5,4690064.74,EPSG:32617,582,145,145,3,123,0.8483,1.429497,0.398909,1.269189,0.354174,0.999613,418
chicago_0719,chicago,719,41.698207,-87.62604,447508.44,4616058.65,448308.44,4616858.65,EPSG:32616,1848,461,461,1,461,1.0,1.409876,0.393433,1.433183,0.399937,0.999885,1666
chicago_0077,chicago,77,41.970985,-87.792845,433908.44,4646458.65,434708.44,4647258.65,EPSG:32616,1158,307,307,1,307,1.0,1.435811,0.400671,1.46172,0.407901,0.999492,1048
chicago_0067,chicago,67,41.790865,-87.790621,433908.44,4626458.65,434708.44,4627258.65,EPSG:32616,1912,475,475,2,474,0.9979,1.465502,0.408956,1.434632,0.400342,0.9987,1738
chicago_0506,chicago,506,41.899677,-87.676227,443508.44,4638458.65,444308.44,4639258.65,EPSG:32616,1256,352,352,6,347,0.9858,1.445135,0.403273,1.415076,0.394884,0.999283,1112
chicago_0082,chicago,82,41.776521,-87.780819,434708.44,4624858.65,435508.44,4625658.65,EPSG:32616,1722,462,462,2,461,0.9978,1.535521,0.428495,1.503769,0.419635,0.995387,1586
chicago_0892,chicago,892,41.727328,-87.56861,452308.44,4619258.65,453108.44,4620058.65,EPSG:32616,1766,461,461,1,461,1.0,1.443434,0.402798,1.443118,0.40271,0.999324,1634
chicago_0576,chicago,576,41.683635,-87.654736,445108.44,4614458.65,445908.44,4615258.65,EPSG:32616,1726,431,431,1,431,1.0,1.439373,0.401665,1.426768,0.398147,0.999416,1560
detroit_0294,detroit,294,42.33931,-83.138235,323456.5,4689264.74,324256.5,4690064.74,EPSG:32617,1550,388,388,4,384,0.9897,1.535962,0.428618,1.443385,0.402784,0.99536,1336
chicago_0303,chicago,303,41.776959,-87.713441,440308.44,4624858.65,441108.44,4625658.65,EPSG:32616,1712,430,430,1,430,1.0,1.43848,0.401415,1.402256,0.391307,0.999436,1530
detroit_0533,detroit,533,42.441883,-83.044453,331456.5,4700464.74,332256.5,4701264.74,EPSG:32617,488,140,140,2,139,0.9929,1.58045,0.441033,1.540702,0.429941,0.992192,386
chicago_0244,chicago,244,41.97137,-87.734917,438708.44,4646458.65,439508.44,4647258.65,EPSG:32616,1474,383,383,2,380,0.9922,1.575472,0.439644,1.443286,0.402757,0.992587,1308
detroit_0063,detroit,63,42.410017,-83.208688,317856.5,4697264.74,318656.5,4698064.74,EPSG:32617,1380,345,345,2,344,0.9971,1.477341,0.41226,1.429695,0.398964,0.998283,1222
fez_0015,fez,15,34.002867,-5.055682,309753.18,3763978.89,310553.18,3764778.89,EPSG:32630,284,78,78,4,63,0.8077,1.579961,0.440896,1.435295,0.400527,0.992231,184
