patch_id,city_code,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
chennai_0037,chennai,991,0.2013,130.02,98.75,14.27,5.14
chennai_0171,chennai,889,0.1727,124.3,230.88,14.17,6.39
chennai_0246,chennai,262,0.0661,161.4,262.68,21.73,15.92
chicago_0338,chicago,1470,0.2074,90.29,145.65,11.6,3.49
chicago_0085,chicago,1601,0.3065,122.54,912.69,10.23,7.54
chicago_0637,chicago,1150,0.2306,128.35,150.4,11.4,5.46
chicago_0582,chicago,1816,0.264,93.05,102.26,10.16,2.86
chicago_0348,chicago,1627,0.2866,112.75,364.5,10.01,8.84
chicago_0642,chicago,723,0.1519,134.43,218.35,12.48,7.44
chicago_0255,chicago,1655,0.2506,96.9,93.14,11.47,3.22
chicago_0833,chicago,1123,0.2436,138.84,208.97,11.39,5.45
chicago_0675,chicago,1253,0.2222,113.5,307.38,11.39,3.97
chicago_0639,chicago,966,0.1875,124.2,185.91,12.05,7.05
chicago_0769,chicago,1605,0.2802,111.72,114.01,9.91,3.34
chicago_0280,chicago,1679,0.3284,125.18,325.91,9.55,4.68
chicago_0199,chicago,1259,0.3228,164.08,789.06,10.51,7.88
