patch_id,city_code,distance_to_center_km
bergen_0533,bergen,6.372
bergen_0329,bergen,9.017
bergen_0126,bergen,16.263
bergen_0216,bergen,4.948
bergen_0585,bergen,9.266
bergen_0605,bergen,9.963
bergen_0560,bergen,7.822
bergen_0217,bergen,4.161
bergen_0369,bergen,8.419
bergen_0311,bergen,8.759
birmingham_0152,birmingham,5.72
birmingham_0287,birmingham,5.327
birmingham_0190,birmingham,10.122
birmingham_0272,birmingham,6.684
birmingham_0131,birmingham,6.279
birmingham_0435,birmingham,5.908
birmingham_0223,birmingham,3.748
birmingham_0040,birmingham,10.887
birmingham_0068,birmingham,9.673
birmingham_0043,birmingham,9.603
birmingham_0339,birmingham,3.436
birmingham_0081,birmingham,13.047
birmingham_0346,birmingham,8.714
birmingham_0299,birmingham,7.548
bogota_0510,bogota,2.378
bogota_0265,bogota,3.92
bogota_0371,bogota,8.914
bogota_0563,bogota,4.136
bogota_0567,bogota,6.538
bogota_0027,bogota,12.08
bogota_0375,bogota,5.778
bogota_0302,bogota,3.869
bogota_0068,bogota,9.574
bogota_0221,bogota,7.269
bogota_0550,bogota,10.719
bogota_0345,bogota,2.754
bogota_0194,bogota,5.943
bogota_0121,bogota,8.47
bogota_0656,bogota,10.985
bogota_0201,bogota,6.313
bogota_0407,bogota,9.618
bogota_0478,bogota,3.337
bogota_0044,bogota,12.074
bogota_0509,bogota,2.974
bogota_0611,bogota,6.379
bogota_0117,bogota,7.839
bogota_0335,bogota,6.776
bogota_0289,bogota,13.154
bogota_0154,bogota,14.238
bogota_0294,bogota,9.307
bogota_0231,bogota,5.225
bologna_0178,bologna,4.941
bologna_0095,bologna,4.353
bologna_0106,bologna,1.11
bologna_0052,bologna,3.606
bologna_0024,bologna,5.573
bologna_0087,bologna,2.2
brasilia_2052,brasilia,22.223
brasilia_2089,brasilia,22.659
brasilia_2000,brasilia,12.221
brasilia_2428,brasilia,31.379
brasilia_0975,brasilia,27.601
brasilia_2412,brasilia,30.714
brasilia_0790,brasilia,31.539
brasilia_2417,brasilia,33.118
brasilia_1715,brasilia,19.572
brasilia_0744,brasilia,16.925
brasilia_1180,brasilia,7.848
brasilia_1669,brasilia,18.589
brasilia_2394,brasilia,32.508
brasilia_0344,brasilia,25.447
brasilia_0311,brasilia,25.715
brasilia_2411,brasilia,30.273
brasilia_0892,brasilia,13.775
brasilia_0587,brasilia,33.011
brasilia_0343,brasilia,25.622
brasilia_0732,brasilia,20.064
brasilia_0576,brasilia,20.216
brasilia_0303,brasilia,26.592
brasilia_0415,brasilia,23.724
brasilia_0781,brasilia,16.126
brasilia_1849,brasilia,18.183
brasilia_0977,brasilia,26.151
brasilia_0435,brasilia,29.834
brasilia_1179,brasilia,7.341
brasilia_0403,brasilia,28.04
brasilia_0224,brasilia,28.113
brasilia_0689,brasilia,21.169
brasilia_1773,brasilia,11.584
brasilia_0735,brasilia,18.543
brasilia_1146,brasilia,8.368
brasilia_0644,brasilia,23.203
brasilia_1604,brasilia,6.467
brasilia_0940,brasilia,27.22
brasilia_2079,brasilia,14.369
brasilia_0979,brasilia,24.72
brasilia_0603,brasilia,22.945
brasilia_1537,brasilia,4.937
brasilia_0575,brasilia,20.31
brasilia_1998,brasilia,11.63
brasilia_0196,brasilia,29.131
brasilia_1848,brasilia,17.466
brasilia_1402,brasilia,6.058
brasilia_0549,brasilia,32.221
brasilia_0613,brasilia,19.81
brasilia_0799,brasilia,24.234
brasilia_0831,brasilia,29.059
brasilia_0595,brasilia,27.502
brasilia_1350,brasilia,6.5
brasilia_2017,brasilia,19.578
brasilia_0548,brasilia,32.849
brasilia_1961,brasilia,10.635
brasilia_0495,brasilia,21.807
brasilia_1413,brasilia,2.959
brasilia_0814,brasilia,15.574
brasilia_0297,brasilia,28.2
brasilia_1535,brasilia,7.915
brasilia_1984,brasilia,15.444
brasilia_0372,brasilia,26.098
brasilia_1220,brasilia,12.922
brasilia_0347,brasilia,25.069
brasilia_1890,brasilia,17.84
brasilia_1296,brasilia,4.995
brasilia_1323,brasilia,4.345
brasilia_0458,brasilia,22.547
brasilia_1175,brasilia,7.842
brasilia_1382,brasilia,2.103
brasilia_1232,brasilia,5.744
brasilia_1922,brasilia,9.866
brasilia_1866,brasilia,13.829
brasilia_1501,brasilia,5.389
brasilia_1566,brasilia,7.445
brasilia_0273,brasilia,26.753
brasilia_1962,brasilia,10.873
brasilia_1037,brasilia,11.735
brasilia_0829,brasilia,30.454
brasilia_0942,brasilia,25.799
brasilia_0806,brasilia,17.863
brasilia_1609,brasilia,3.884
brasilia_0890,brasilia,14.004
brasilia_1015,brasilia,27.283
brasilia_0776,brasilia,16.708
brasilia_0807,brasilia,17.466
brasilia_0034,brasilia,39.642
brasilia_1697,brasilia,7.017
brasilia_1074,brasilia,11.023
brasilia_0895,brasilia,13.777
brasilia_1297,brasilia,5.484
brasilia_1775,brasilia,10.362
brasilia_1665,brasilia,15.515
brasilia_1688,brasilia,7.005
brasilia_1043,brasilia,10.534
brasilia_0249,brasilia,27.661
brasilia_1696,brasilia,6.544
bratislava_0002,bratislava,16.503
bratislava_0234,bratislava,1.159
bratislava_0201,bratislava,4.941
bratislava_0203,bratislava,3.455
bratislava_0377,bratislava,5.247
bratislava_0339,bratislava,4.617
bratislava_0395,bratislava,4.132
bratislava_0345,bratislava,2.632
bratislava_0120,bratislava,5.767
bratislava_0316,bratislava,1.9
bratislava_0296,bratislava,7.354
bratislava_0438,bratislava,6.464
bratislava_0035,bratislava,9.68
bratislava_0162,bratislava,4.548
bratislava_0101,bratislava,6.068
bratislava_0103,bratislava,6.884
bruges_0082,bruges,1.911
brussels_0010,brussels,2.217
bucharest_0022,bucharest,8.367
bucharest_0079,bucharest,10.332
bucharest_0126,bucharest,5.197
bucharest_0246,bucharest,4.978
bucharest_0243,bucharest,7.356
bucharest_0050,bucharest,6.446
bucharest_0349,bucharest,6.524
bucharest_0110,bucharest,3.983
bucharest_0023,bucharest,8.163
bucharest_0264,bucharest,5.935
bucharest_0094,bucharest,6.7
bucharest_0217,bucharest,11.123
bucharest_0150,bucharest,4.076
bucharest_0058,bucharest,8.964
bucharest_0157,bucharest,3.305
bucharest_0151,bucharest,3.458
bucharest_0197,bucharest,4.971
bucharest_0196,bucharest,5.763
bucharest_0131,bucharest,3.183
budapest_0684,budapest,15.618
budapest_0616,budapest,12.755
budapest_0604,budapest,9.177
budapest_0496,budapest,9.343
budapest_0460,budapest,8.819
budapest_0709,budapest,14.478
budapest_0666,budapest,13.09
budapest_0595,budapest,9.82
budapest_0718,budapest,12.76
budapest_0788,budapest,16.802
budapest_0328,budapest,8.004
budapest_0563,budapest,9.994
budapest_0733,budapest,14.038
budapest_0592,budapest,11.116
budapest_0351,budapest,11.007
budapest_0654,budapest,10.537
budapest_0202,budapest,11.681
budapest_0685,budapest,15.116
budapest_0396,budapest,5.381
budapest_0765,budapest,15.162
budapest_0278,budapest,1.376
budapest_0295,budapest,10.17
budapest_0065,budapest,12.619
budapest_0378,budapest,8.184
budapest_0446,budapest,11.03
budapest_0479,budapest,10.03
budapest_0313,budapest,4.621
budapest_0565,budapest,9.114
budapest_0270,budapest,5.303
budapest_0011,budapest,7.262
budapest_0167,budapest,5.703
budapest_0370,budapest,3.357
budapest_0463,budapest,7.117
budapest_0052,budapest,5.658
budapest_0095,budapest,8.654
budapest_0160,budapest,2.488
budapest_0303,budapest,3.966
buenosaires_0101,buenosaires,11.733
buenosaires_0028,buenosaires,11.309
buenosaires_0012,buenosaires,12.497
buenosaires_0083,buenosaires,10.269
buenosaires_0227,buenosaires,4.61
buenosaires_0044,buenosaires,10.988
buenosaires_0283,buenosaires,3.956
buenosaires_0024,buenosaires,12.363
buenosaires_0105,buenosaires,9.603
buenosaires_0152,buenosaires,9.473
buenosaires_0186,buenosaires,5.73
buenosaires_0198,buenosaires,7.216
buenosaires_0159,buenosaires,6.449
buenosaires_0103,buenosaires,10.601
buenosaires_0289,buenosaires,1.124
buenosaires_0237,buenosaires,4.963
buenosaires_0127,buenosaires,10.021
cairo_2083,cairo,60.369
cairo_1483,cairo,42.188
cairo_1951,cairo,54.375
cairo_2111,cairo,62.157
cairo_1448,cairo,41.449
cairo_1800,cairo,49.765
cairo_2053,cairo,57.346
cairo_1767,cairo,48.728
cairo_1921,cairo,53.037
cairo_1799,cairo,49.475
cairo_2100,cairo,61.766
cairo_1730,cairo,47.42
cairo_2064,cairo,58.092
cairo_2086,cairo,61.393
cairo_2120,cairo,63.901
cairo_2052,cairo,57.061
cairo_2068,cairo,59.64
cairo_1519,cairo,43.234
cairo_1979,cairo,55.115
cairo_0877,cairo,24.961
cairo_1342,cairo,37.103
cairo_0196,cairo,21.526
cairo_0404,cairo,24.334
cairo_0823,cairo,22.033
cairo_1341,cairo,36.904
cairo_2032,cairo,56.033
cairo_1950,cairo,54.074
cairo_0227,cairo,9.005
cairo_1404,cairo,38.857
cairo_0440,cairo,24.655
cairo_1290,cairo,35.162
cairo_1834,cairo,51.113
cairo_1703,cairo,47.857
cairo_0748,cairo,17.46
cairo_0978,cairo,27.059
cairo_2082,cairo,60.045
cairo_1760,cairo,46.999
cairo_0502,cairo,14.615
cairo_1243,cairo,35.279
cairo_2091,cairo,56.806
cairo_1582,cairo,41.455
cairo_0439,cairo,25.385
cairo_0602,cairo,16.053
cairo_1242,cairo,35.821
cairo_0596,cairo,14.018
cairo_1198,cairo,31.856
cairo_0493,cairo,11.295
cairo_1969,cairo,52.093
cairo_0910,cairo,23.101
cairo_0457,cairo,10.242
cairo_1989,cairo,51.906
cairo_0775,cairo,20.987
cairo_0028,cairo,3.977
cairo_1474,cairo,40.02
cairo_0726,cairo,17.314
cairo_1621,cairo,42.314
cairo_0489,cairo,11.073
cairo_1170,cairo,31.084
cairo_0145,cairo,8.138
cairo_0765,cairo,18.682
cairo_1809,cairo,47.6
cairo_0477,cairo,24.998
cairo_0855,cairo,24.586
cairo_0281,cairo,26.577
cairo_1602,cairo,45.475
cairo_1333,cairo,35.846
cairo_0004,cairo,3.365
cairo_0914,cairo,23.097
cairo_0791,cairo,19.112
cairo_0153,cairo,15.919
cairo_0232,cairo,29.496
cairo_0435,cairo,14.028
cairo_0090,cairo,3.886
cairo_1845,cairo,47.957
cairo_0542,cairo,27.151
cairo_0416,cairo,10.991
cairo_0544,cairo,25.745
cairo_0865,cairo,21.459
cairo_0906,cairo,23.544
cairo_0350,cairo,9.181
cairo_0113,cairo,3.859
cairo_0338,cairo,10.664
cairo_0043,cairo,0.642
cairo_0060,cairo,3.534
cairo_0943,cairo,24.054
cairo_0942,cairo,23.962
cairo_0578,cairo,26.148
cairo_0496,cairo,12.03
cairo_0991,cairo,25.648
caracas_0148,caracas,0.893
caracas_0043,caracas,7.836
caracas_0120,caracas,1.626
caracas_0068,caracas,5.278
caracas_0373,caracas,12.232
caracas_0387,caracas,13.026
caracas_0399,caracas,13.82
casablanca_0041,casablanca,7.521
casablanca_0269,casablanca,8.379
casablanca_0259,casablanca,6.552
casablanca_0103,casablanca,4.093
casablanca_0048,casablanca,10.073
casablanca_0078,casablanca,10.118
casablanca_0261,casablanca,6.174
casablanca_0316,casablanca,10.174
casablanca_0243,casablanca,6.61
casablanca_0159,casablanca,7.125
casablanca_0262,casablanca,6.135
chandigarh_0157,chandigarh,5.766
chandigarh_0018,chandigarh,5.071
chandigarh_0102,chandigarh,1.3
chandigarh_0057,chandigarh,2.702
chandigarh_0026,chandigarh,5.568
chandigarh_0035,chandigarh,4.455
chandigarh_0113,chandigarh,3.824
chandigarh_0170,chandigarh,4.966
chandigarh_0090,chandigarh,0.49
chandigarh_0055,chandigarh,4.023
chandigarh_0043,chandigarh,2.893
chandigarh_0088,chandigarh,1.2
chandigarh_0056,chandigarh,3.332
chandigarh_0153,chandigarh,5.322
chandigarh_0158,chandigarh,5.186
chennai_0572,chennai,4.431
chennai_0193,chennai,7.286
chennai_0186,chennai,8.925
chennai_0614,chennai,14.052
chennai_0157,chennai,8.166
chennai_0277,chennai,5.689
chennai_0194,chennai,7.376
chennai_0427,chennai,23.708
chennai_0481,chennai,14.87
chennai_0025,chennai,13.845
chennai_0446,chennai,8.731
chennai_0188,chennai,8.103
chennai_0221,chennai,12.57
chennai_0069,chennai,11.067
chennai_0046,chennai,12.093
chennai_0044,chennai,12.759
chennai_0216,chennai,16.132
chennai_0644,chennai,5.005
chennai_0503,chennai,3.286
chennai_0411,chennai,3.495
chennai_0403,chennai,6.121
chennai_0622,chennai,1.589
chennai_0324,chennai,6.076
chennai_0374,chennai,9.363
chennai_0394,chennai,12.8
chennai_0178,chennai,13.67
chennai_0307,chennai,12.559
chennai_0154,chennai,8.158
chennai_0275,chennai,5.792
chennai_0317,chennai,5.256
chennai_0464,chennai,6.517
chennai_0148,chennai,10.043
chennai_0037,chennai,12.862
chennai_0171,chennai,18.653
chennai_0246,chennai,11.275
chicago_0338,chicago,20.043
chicago_0085,chicago,15.597
chicago_0637,chicago,13.427
chicago_0582,chicago,16.712
chicago_0348,chicago,10.805
chicago_0642,chicago,9.481
chicago_0255,chicago,17.042
chicago_0833,chicago,14.254
chicago_0675,chicago,20.526
chicago_0639,chicago,11.844
chicago_0769,chicago,13.305
chicago_0280,chicago,9.732
chicago_0199,chicago,11.125
chicago_0720,chicago,18.899
chicago_0488,chicago,12.453
chicago_0719,chicago,19.699
chicago_0077,chicago,17.536
chicago_0067,chicago,16.706
chicago_0506,chicago,5.066
chicago_0082,chicago,17.024
chicago_0892,chicago,17.105
chicago_0576,chicago,21.466
chicago_0303,chicago,13.215
chicago_0244,chicago,14.045
chicago_0156,chicago,13.163
chicago_0767,chicago,14.905
chicago_0329,chicago,12.419
chicago_0269,chicago,9.066
chicago_0228,chicago,9.319
chicago_0696,chicago,3.846
chicago_0394,chicago,10.33
chicago_0304,chicago,12.563
chicago_0166,chicago,11.842
chicago_0536,chicago,13.742
chicago_0259,chicago,14.329
chicago_0555,chicago,3.969
chicago_0232,chicago,9.149
chicago_0487,chicago,13.207
chicago_0541,chicago,9.923
chicago_0638,chicago,12.635
chicago_0167,chicago,12.209
chicago_0636,chicago,14.22
chicago_0396,chicago,9.06
chicago_0202,chicago,12.413
chicago_0277,chicago,8.713
chicago_0347,chicago,11.445
chicago_0830,chicago,16.632
chicago_0218,chicago,13.577
chicago_0371,chicago,11.954
chicago_0585,chicago,14.347
chicago_0770,chicago,12.505
chicago_0481,chicago,17.818
chicago_0673,chicago,22.124
chicago_0346,chicago,12.104
chicago_0542,chicago,9.178
chicago_0563,chicago,9.012
chicago_0302,chicago,13.882
chicago_0421,chicago,14.373
chicago_0577,chicago,20.672
chicago_0914,chicago,15.067
chicago_0806,chicago,10.974
chicago_0392,chicago,11.681
chicago_0776,chicago,7.71
chicago_0587,chicago,12.778
chicago_0050,chicago,15.303
chicago_0896,chicago,14.043
chicago_0378,chicago,16.893
chicago_0376,chicago,15.436
chicago_0537,chicago,12.97
chicago_0144,chicago,14.175
chicago_0345,chicago,12.779
chicago_0761,chicago,19.704
chicago_0875,chicago,16.131
chicago_0103,chicago,15.897
chicago_0939,chicago,21.636
chicago_0262,chicago,12.447
chicago_0043,chicago,21.919
chicago_0567,chicago,12.028
chicago_0880,chicago,12.273
chicago_0829,chicago,17.426
chicago_0237,chicago,10.421
chicago_0118,chicago,14.831
chicago_0953,chicago,21.158
chicago_0312,chicago,8.342
chicago_0717,chicago,21.3
chicago_0802,chicago,14.157
chicago_0094,chicago,16.414
chicago_0715,chicago,22.9
chicago_0408,chicago,6.475
chicago_0445,chicago,8.562
chicago_0803,chicago,13.36
chicago_0065,chicago,17.647
chicago_0934,chicago,25.459
chicago_0874,chicago,16.911
chicago_0301,chicago,14.563
chicago_0676,chicago,19.727
chicago_0169,chicago,13.059
chicago_0234,chicago,9.477
chicago_0387,chicago,15.272
chicago_0952,chicago,21.905
chicago_0678,chicago,18.129
chicago_0941,chicago,20.126
chicago_0644,chicago,7.919
chicago_0647,chicago,5.615
chicago_0120,chicago,15.784
chicago_0170,chicago,13.535
chicago_0591,chicago,9.672
chicago_0588,chicago,11.997
chicago_0226,chicago,9.803
chicago_0902,chicago,24.289
chicago_0276,chicago,8.498
chicago_0219,chicago,12.993
chicago_0370,chicago,11.299
chicago_0540,chicago,10.676
chicago_0261,chicago,13.056
chicago_0217,chicago,14.182
chicago_0940,chicago,20.879
chicago_0422,chicago,15.106
chicago_0546,chicago,6.333
chicago_0583,chicago,15.923
chicago_0491,chicago,10.231
chicago_0758,chicago,22.104
chicago_0505,chicago,4.686
chicago_0231,chicago,9.086
chicago_0535,chicago,14.518
chicago_0393,chicago,10.997
chicago_0068,chicago,16.275
chicago_0260,chicago,13.684
chicago_0323,chicago,9.06
chicago_0489,chicago,11.704
chicago_0674,chicago,21.325
chicago_0272,chicago,8.381
chicago_0102,chicago,16.417
chicago_0716,chicago,22.1
chicago_0117,chicago,14.398
chicago_0913,chicago,15.818
chicago_0070,chicago,14.537
chicago_0895,chicago,14.803
chicago_0328,chicago,11.79
chicago_0137,chicago,11.798
chicago_0584,chicago,15.134
chicago_0119,chicago,15.294
chicago_0242,chicago,12.865
chicago_0766,chicago,15.704
chicago_0628,chicago,20.583
chicago_0938,chicago,22.395
chicago_0908,chicago,19.633
chicago_0412,chicago,8.338
chicago_0130,chicago,14.772
chicago_0430,chicago,19.568
chicago_0188,chicago,12.523
chicago_0332,chicago,14.409
chicago_0604,chicago,2.9
chicago_0539,chicago,11.436
chicago_0512,chicago,8.646
chicago_0632,chicago,17.398
chicago_0692,chicago,6.976
chicago_0493,chicago,8.803
chicago_0859,chicago,12.832
chicago_0439,chicago,12.75
chicago_0482,chicago,17.042
chicago_0364,chicago,7.951
chicago_0910,chicago,18.097
chicago_0161,chicago,10.739
chicago_0855,chicago,15.966
chicago_0919,chicago,25.253
chicago_0110,chicago,12.43
