patch_id,city_code,circuity,total_network_length,total_straight_length,n_edges_in_circuity
bengaluru_0652,bengaluru,1.041969,18147.84,17416.87,385
bengaluru_0389,bengaluru,1.065027,13430.4,12610.39,237
bengaluru_0271,bengaluru,1.005842,18892.1,18782.37,332
bengaluru_0028,bengaluru,1.008639,8343.09,8271.63,132
bengaluru_0172,bengaluru,1.024712,19989.69,19507.6,397
bengaluru_0380,bengaluru,1.007207,21082.97,20932.12,425
bengaluru_0823,bengaluru,1.032533,9001.7,8718.08,154
bengaluru_0671,bengaluru,1.06347,12460.71,11717.02,267
bengaluru_1053,bengaluru,1.03661,11665.29,11253.31,250
bengaluru_0177,bengaluru,1.021317,20113.31,19693.5,367
bengaluru_1043,bengaluru,1.029374,13734.04,13342.12,246
bengaluru_0872,bengaluru,1.06159,9814.73,9245.31,156
bengaluru_0467,bengaluru,1.024191,11186.97,10922.74,169
bengaluru_0728,bengaluru,1.041359,14353.43,13783.37,260
bengaluru_0376,bengaluru,1.019801,14892.27,14603.11,308
bengaluru_0276,bengaluru,1.029375,12537.14,12179.37,282
bengaluru_0744,bengaluru,1.013753,18149.35,17903.13,294
bengaluru_0481,bengaluru,1.052408,15316.71,14553.97,297
bengaluru_0540,bengaluru,1.063344,11941.4,11230.04,290
bengaluru_0701,bengaluru,1.042903,8594.39,8240.84,163
bengaluru_0579,bengaluru,1.048716,14697.34,14014.6,314
bengaluru_0732,bengaluru,1.02784,16310.96,15869.15,313
bergen_0556,bergen,1.084779,5472.11,5044.45,67
bergen_0516,bergen,1.05514,4077.19,3864.13,66
bergen_0177,bergen,1.095206,13311.1,12153.97,374
bergen_0091,bergen,1.117387,6327.06,5662.37,146
bergen_0127,bergen,1.098783,9094.42,8276.82,158
bergen_0350,bergen,1.084422,10747.35,9910.67,259
bergen_0265,bergen,1.157195,5470.58,4727.44,52
bergen_0244,bergen,1.107921,5373.46,4850.04,66
bergen_0336,bergen,1.050565,21457.97,20425.17,571
bergen_0533,bergen,1.052185,3165.82,3008.81,60
bergen_0329,bergen,1.08335,17163.51,15843.0,459
bergen_0126,bergen,1.102079,7533.09,6835.35,245
bergen_0216,bergen,1.055962,15313.11,14501.57,375
bergen_0585,bergen,1.107204,9923.7,8962.84,146
bergen_0605,bergen,1.15758,4116.06,3555.75,44
bergen_0560,bergen,1.109559,7453.88,6717.88,144
bergen_0217,bergen,1.111667,9750.91,8771.43,177
bergen_0369,bergen,1.116866,15575.41,13945.64,412
bergen_0311,bergen,1.096046,11545.29,10533.58,221
birmingham_0152,birmingham,1.069943,12672.12,11843.74,297
birmingham_0287,birmingham,1.040335,7254.57,6973.29,115
birmingham_0190,birmingham,1.052266,13428.07,12761.1,322
birmingham_0272,birmingham,1.098719,7767.68,7069.76,140
birmingham_0131,birmingham,1.062128,3381.37,3183.58,140
birmingham_0435,birmingham,1.073193,7521.96,7008.95,153
birmingham_0223,birmingham,1.040053,12127.45,11660.42,242
birmingham_0040,birmingham,1.040768,9875.67,9488.83,170
birmingham_0068,birmingham,1.025892,12323.28,12012.26,289
birmingham_0043,birmingham,1.083188,14104.12,13020.94,282
birmingham_0339,birmingham,1.095163,8832.56,8065.06,148
birmingham_0081,birmingham,1.037645,11051.86,10650.9,282
birmingham_0346,birmingham,1.058274,7467.82,7056.6,171
birmingham_0299,birmingham,1.029029,8163.93,7933.62,147
bogota_0510,bogota,1.013655,23598.92,23281.01,658
bogota_0265,bogota,1.037932,11897.69,11462.89,209
bogota_0371,bogota,1.015107,20387.68,20084.27,440
bogota_0563,bogota,1.013262,15221.92,15022.69,290
bogota_0567,bogota,1.045832,17901.67,17117.15,370
bogota_0027,bogota,1.030576,20876.88,20257.49,436
bogota_0375,bogota,1.012918,23182.32,22886.67,589
bogota_0302,bogota,1.018729,11913.57,11694.54,250
bogota_0068,bogota,1.020766,29378.19,28780.55,758
bogota_0221,bogota,1.011366,21016.92,20780.71,448
bogota_0550,bogota,1.039083,14059.76,13530.93,380
bogota_0345,bogota,1.047889,13388.3,12776.46,282
bogota_0194,bogota,1.038122,12900.36,12426.63,239
bogota_0121,bogota,1.039038,17939.9,17265.88,438
bogota_0656,bogota,1.048691,13572.36,12942.19,272
bogota_0201,bogota,1.059799,17543.95,16554.04,394
bogota_0407,bogota,1.016777,14384.84,14147.49,252
bogota_0478,bogota,1.013958,25708.16,25354.28,814
bogota_0044,bogota,1.079411,17291.8,16019.67,358
bogota_0509,bogota,1.033462,25891.45,25053.11,731
bogota_0611,bogota,1.038242,17642.86,16993.01,349
bogota_0117,bogota,1.025195,10131.25,9882.26,201
bogota_0335,bogota,1.03692,23629.85,22788.49,633
bogota_0289,bogota,1.031785,11189.61,10844.9,240
bogota_0154,bogota,1.026318,17423.16,16976.37,384
bogota_0294,bogota,1.030304,17949.67,17421.73,382
bogota_0231,bogota,1.055036,13357.68,12660.88,224
bologna_0178,bologna,1.126138,9379.79,8329.17,234
bologna_0095,bologna,1.073376,6689.41,6232.13,200
bologna_0106,bologna,1.101443,24476.38,22222.1,838
bologna_0052,bologna,1.102928,9853.45,8933.91,206
bologna_0024,bologna,1.152327,4430.39,3844.73,90
bologna_0087,bologna,1.276813,4806.76,3764.65,45
brasilia_2052,brasilia,1.03461,4588.09,4434.61,46
brasilia_2089,brasilia,1.015407,5579.27,5494.61,53
brasilia_2000,brasilia,1.011166,8129.97,8040.19,94
brasilia_2428,brasilia,1.015591,10232.77,10075.68,122
brasilia_0975,brasilia,1.013634,5187.99,5118.21,71
brasilia_2412,brasilia,1.01885,8596.16,8437.12,103
brasilia_0790,brasilia,1.008734,12967.5,12855.22,210
brasilia_2417,brasilia,1.009609,8167.41,8089.68,100
brasilia_1715,brasilia,1.004845,2608.13,2595.55,28
brasilia_0744,brasilia,1.00349,5864.73,5844.34,61
brasilia_1180,brasilia,1.016132,5507.16,5419.73,55
brasilia_1669,brasilia,1.015353,6451.54,6353.99,60
brasilia_2394,brasilia,1.013273,12740.67,12573.77,150
brasilia_0344,brasilia,1.004729,14428.21,14360.3,204
brasilia_0311,brasilia,1.007459,13915.29,13812.26,191
brasilia_2411,brasilia,1.001586,5246.3,5237.99,60
brasilia_0892,brasilia,1.210689,5651.4,4667.92,66
brasilia_0587,brasilia,1.009921,12953.47,12826.22,188
brasilia_0343,brasilia,1.007389,14043.6,13940.6,188
brasilia_0732,brasilia,1.000535,2649.67,2648.26,48
brasilia_0576,brasilia,1.012529,7400.65,7309.08,55
brasilia_0303,brasilia,1.006769,6969.47,6922.61,86
brasilia_0415,brasilia,1.011305,10866.88,10745.4,131
brasilia_0781,brasilia,1.009273,6067.5,6011.76,71
brasilia_1849,brasilia,1.018465,5631.18,5529.09,69
brasilia_0977,brasilia,1.015124,16772.47,16522.58,309
brasilia_0435,brasilia,1.094043,1926.39,1760.8,25
brasilia_1179,brasilia,1.011551,3233.78,3196.86,79
brasilia_0403,brasilia,1.018183,10119.61,9938.89,172
brasilia_0224,brasilia,1.053449,7224.82,6858.26,90
brasilia_0689,brasilia,1.021581,16557.74,16207.96,319
brasilia_1773,brasilia,1.07435,2309.57,2149.74,38
brasilia_0735,brasilia,1.017132,10444.44,10268.51,175
brasilia_1146,brasilia,1.134921,9479.09,8352.2,152
brasilia_0644,brasilia,1.014084,16427.6,16199.45,307
brasilia_1604,brasilia,1.041279,4864.79,4671.93,50
brasilia_0940,brasilia,1.038706,11627.48,11194.19,170
brasilia_2079,brasilia,1.103643,2029.82,1839.2,33
brasilia_0979,brasilia,1.020144,6090.34,5970.08,79
brasilia_0603,brasilia,1.022345,17335.92,16957.01,347
brasilia_1537,brasilia,1.071337,2873.45,2682.12,33
brasilia_0575,brasilia,1.013491,6658.03,6569.4,83
brasilia_1998,brasilia,1.020202,15655.81,15345.8,309
brasilia_0196,brasilia,1.018193,8446.46,8295.54,128
brasilia_1848,brasilia,1.042046,11027.14,10582.2,157
brasilia_1402,brasilia,1.044567,7683.47,7355.65,121
brasilia_0549,brasilia,1.027428,13353.08,12996.61,229
brasilia_0613,brasilia,1.115165,4517.54,4051.01,52
brasilia_0799,brasilia,1.082148,2938.66,2715.58,56
brasilia_0831,brasilia,1.036374,9839.84,9494.49,164
brasilia_0595,brasilia,1.0187,4802.02,4713.87,44
brasilia_1350,brasilia,1.031753,4341.56,4207.94,56
brasilia_2017,brasilia,1.004649,4453.0,4432.39,45
brasilia_0548,brasilia,1.01746,15360.99,15097.38,258
brasilia_1961,brasilia,1.084849,21576.93,19889.33,465
brasilia_0495,brasilia,1.055677,15648.48,14823.17,309
brasilia_1413,brasilia,1.051525,14062.43,13373.36,285
brasilia_0814,brasilia,1.289771,5379.57,4170.95,61
brasilia_0297,brasilia,1.091545,14059.81,12880.66,218
brasilia_1535,brasilia,1.059545,5227.71,4933.92,57
brasilia_1984,brasilia,1.032199,12239.11,11857.32,199
brasilia_0372,brasilia,1.083829,14810.61,13665.07,230
brasilia_1220,brasilia,1.04425,3451.46,3305.21,66
brasilia_0347,brasilia,1.051985,12045.24,11450.02,171
brasilia_1890,brasilia,1.039456,9161.19,8813.44,138
brasilia_1296,brasilia,1.037114,5217.88,5031.15,90
brasilia_1323,brasilia,1.026157,16153.78,15742.02,349
brasilia_0458,brasilia,1.051865,10409.34,9896.08,162
brasilia_1175,brasilia,1.064576,11623.8,10918.71,242
brasilia_1382,brasilia,1.052017,13507.02,12839.17,278
brasilia_1232,brasilia,1.036415,25610.41,24710.57,669
brasilia_1922,brasilia,1.064247,3150.49,2960.3,49
brasilia_1866,brasilia,1.030293,11807.27,11460.12,268
brasilia_1501,brasilia,1.070901,6235.25,5822.43,87
brasilia_1566,brasilia,1.055078,4218.52,3998.3,53
brasilia_0273,brasilia,1.043451,12051.43,11549.58,191
brasilia_1962,brasilia,1.070439,15767.69,14730.12,296
brasilia_1037,brasilia,1.029482,11227.37,10905.85,183
brasilia_0829,brasilia,1.00787,10794.29,10710.0,156
brasilia_0942,brasilia,1.027023,9620.77,9367.63,155
brasilia_0806,brasilia,1.096614,13701.03,12493.94,226
brasilia_1609,brasilia,1.066792,12943.14,12132.77,201
brasilia_0890,brasilia,1.137264,7491.28,6587.1,129
brasilia_1015,brasilia,1.036452,5478.98,5286.28,78
brasilia_0776,brasilia,1.073508,11173.0,10407.94,236
brasilia_0807,brasilia,1.087793,14135.18,12994.36,247
brasilia_0034,brasilia,1.03331,3807.79,3685.04,36
brasilia_1697,brasilia,1.101495,5698.9,5173.79,84
brasilia_1074,brasilia,1.030719,12733.95,12354.43,227
brasilia_0895,brasilia,1.071008,4266.57,3983.7,40
brasilia_1297,brasilia,1.082187,4452.96,4114.78,75
brasilia_1775,brasilia,1.02186,5304.76,5191.28,56
brasilia_1665,brasilia,1.046762,2895.74,2766.38,51
brasilia_1688,brasilia,1.03084,4889.79,4743.51,74
brasilia_1043,brasilia,1.081546,9556.87,8836.3,162
brasilia_0249,brasilia,1.047393,16599.74,15848.63,288
brasilia_1696,brasilia,1.036581,7310.66,7052.66,67
bratislava_0002,bratislava,1.022465,2649.67,2591.46,35
bratislava_0234,bratislava,1.029389,25659.11,24926.53,1007
bratislava_0201,bratislava,1.051127,32076.95,30516.72,1131
bratislava_0203,bratislava,1.062774,35711.24,33601.93,1589
bratislava_0377,bratislava,1.07427,8376.4,7797.29,193
bratislava_0339,bratislava,1.081585,4215.47,3897.49,44
bratislava_0395,bratislava,1.01944,8695.56,8529.74,137
bratislava_0345,bratislava,1.038156,31300.19,30149.8,1131
bratislava_0120,bratislava,1.059472,3720.51,3511.67,35
bratislava_0316,bratislava,1.063333,29284.38,27540.17,1063
bratislava_0296,bratislava,1.086244,7391.4,6804.55,79
bratislava_0438,bratislava,1.033155,12159.14,11768.94,327
bratislava_0035,bratislava,1.030863,4498.77,4364.09,44
bratislava_0162,bratislava,1.168521,3847.65,3292.75,43
bratislava_0101,bratislava,1.083632,16265.3,15009.98,409
bratislava_0103,bratislava,1.040709,9783.08,9400.4,137
bruges_0082,bruges,1.062403,12063.01,11354.46,300
brussels_0010,brussels,1.03461,4840.63,4678.7,164
bucharest_0022,bucharest,1.054042,6560.92,6224.53,108
bucharest_0079,bucharest,1.026838,3667.71,3571.84,94
bucharest_0126,bucharest,1.006705,11941.01,11861.48,164
bucharest_0246,bucharest,1.042142,23750.95,22790.51,713
bucharest_0243,bucharest,1.178366,10252.58,8700.68,167
bucharest_0050,bucharest,1.061022,13988.67,13184.15,265
bucharest_0349,bucharest,1.057005,12159.4,11503.63,224
bucharest_0110,bucharest,1.090808,14959.94,13714.55,340
bucharest_0023,bucharest,1.077032,12856.31,11936.79,270
bucharest_0264,bucharest,1.038912,18414.62,17724.92,493
bucharest_0094,bucharest,1.067711,10253.3,9603.06,173
bucharest_0217,bucharest,1.049934,10480.88,9982.41,268
bucharest_0150,bucharest,1.060418,18119.31,17086.95,409
bucharest_0058,bucharest,1.012947,10039.46,9911.15,130
bucharest_0157,bucharest,1.063167,8888.04,8359.97,117
bucharest_0151,bucharest,1.076618,18728.13,17395.33,383
bucharest_0197,bucharest,1.036154,13306.26,12841.97,240
bucharest_0196,bucharest,1.047482,15223.68,14533.61,285
bucharest_0131,bucharest,1.058461,16646.55,15727.12,382
budapest_0684,budapest,1.001502,7364.91,7353.87,83
budapest_0616,budapest,1.005716,3586.84,3566.46,92
budapest_0604,budapest,0.999601,7903.81,7906.97,98
budapest_0496,budapest,1.00263,26721.64,26651.55,719
budapest_0460,budapest,1.021038,17410.4,17051.67,387
budapest_0709,budapest,1.000526,8240.8,8236.47,87
budapest_0666,budapest,1.002996,7193.44,7171.95,108
budapest_0595,budapest,1.019731,6480.66,6355.26,64
budapest_0718,budapest,1.00552,10144.41,10088.73,134
budapest_0788,budapest,1.000348,10184.89,10181.35,147
budapest_0328,budapest,1.031256,17493.54,16963.33,502
budapest_0563,budapest,1.004262,9956.99,9914.73,124
budapest_0733,budapest,1.136175,7029.39,6186.89,68
budapest_0592,budapest,1.034088,13171.56,12737.37,200
budapest_0351,budapest,1.0235,13811.34,13494.23,356
budapest_0654,budapest,1.029565,9761.25,9480.95,125
budapest_0202,budapest,1.050986,4608.35,4384.79,115
budapest_0685,budapest,1.019631,8330.01,8169.63,110
budapest_0396,budapest,1.061036,4237.02,3993.29,57
budapest_0765,budapest,1.048423,5742.68,5477.45,106
budapest_0278,budapest,1.026364,15529.53,15130.63,324
budapest_0295,budapest,1.042143,15122.91,14511.36,274
budapest_0065,budapest,1.014533,9294.48,9161.34,144
budapest_0378,budapest,1.059804,10058.04,9490.47,167
budapest_0446,budapest,1.04053,8918.96,8571.55,186
budapest_0479,budapest,1.060016,7778.39,7338.0,167
budapest_0313,budapest,1.051017,12542.68,11933.85,309
budapest_0565,budapest,1.061547,15696.07,14786.03,401
budapest_0270,budapest,1.028995,3161.7,3072.61,60
budapest_0011,budapest,1.056973,9335.09,8831.91,124
budapest_0167,budapest,1.030415,7687.35,7460.44,112
budapest_0370,budapest,1.023905,12919.3,12617.67,373
budapest_0463,budapest,1.025595,16187.38,15783.4,428
budapest_0052,budapest,1.034949,9908.07,9573.48,202
budapest_0095,budapest,1.021418,8780.5,8596.38,119
budapest_0160,budapest,1.034465,8697.12,8407.36,191
budapest_0303,budapest,1.053042,12266.53,11648.66,447
buenosaires_0101,buenosaires,1.001532,10123.42,10107.94,125
buenosaires_0028,buenosaires,1.002418,9911.69,9887.78,127
buenosaires_0012,buenosaires,1.001201,13015.2,12999.59,169
buenosaires_0083,buenosaires,1.005053,9574.35,9526.22,129
buenosaires_0227,buenosaires,1.005429,11257.79,11197.0,151
buenosaires_0044,buenosaires,1.002827,10919.86,10889.08,133
buenosaires_0283,buenosaires,1.037954,10103.54,9734.09,152
buenosaires_0024,buenosaires,1.006448,10328.51,10262.34,140
buenosaires_0105,buenosaires,1.01172,14331.53,14165.51,291
buenosaires_0152,buenosaires,1.036972,18450.23,17792.41,540
buenosaires_0186,buenosaires,1.028358,12862.89,12508.18,287
buenosaires_0198,buenosaires,1.072616,10684.89,9961.53,145
buenosaires_0159,buenosaires,1.051529,9506.48,9040.63,118
buenosaires_0103,buenosaires,1.094619,12777.78,11673.27,199
buenosaires_0289,buenosaires,1.011787,12028.04,11887.92,229
buenosaires_0237,buenosaires,1.008352,10744.22,10655.23,143
buenosaires_0127,buenosaires,1.019487,16397.64,16084.2,428
cairo_2083,cairo,1.017961,5356.01,5261.51,85
cairo_1483,cairo,1.007913,6762.45,6709.36,52
cairo_1951,cairo,1.015382,5897.11,5807.77,112
cairo_2111,cairo,1.012095,6803.45,6722.15,121
cairo_1448,cairo,1.004771,8296.03,8256.64,78
cairo_1800,cairo,1.001163,8028.27,8018.94,128
cairo_2053,cairo,1.003306,7092.67,7069.3,69
cairo_1767,cairo,1.080075,3797.61,3516.06,39
cairo_1921,cairo,1.001361,3432.27,3427.6,46
cairo_1799,cairo,1.003247,6799.58,6777.57,100
cairo_2100,cairo,1.000964,3265.28,3262.13,43
cairo_1730,cairo,1.012213,3128.68,3090.93,57
cairo_2064,cairo,1.013292,4773.22,4710.6,45
cairo_2086,cairo,1.041629,6025.14,5784.34,105
cairo_2120,cairo,1.0206,7187.48,7042.41,109
cairo_2052,cairo,1.002997,5669.99,5653.05,44
cairo_2068,cairo,1.005278,7099.99,7062.71,93
cairo_1519,cairo,1.001394,7844.43,7833.51,79
cairo_1979,cairo,1.08021,8936.61,8273.03,220
cairo_0877,cairo,1.04483,3142.12,3007.3,43
cairo_1342,cairo,0.999444,2009.78,2010.9,104
cairo_0196,cairo,1.012264,7489.45,7398.71,131
cairo_0404,cairo,1.007541,15943.52,15824.18,308
cairo_0823,cairo,1.029593,701.87,681.69,35
cairo_1341,cairo,1.012198,4193.66,4143.12,147
cairo_2032,cairo,1.191671,5872.81,4928.22,46
cairo_1950,cairo,1.023257,5326.12,5205.07,58
cairo_0227,cairo,1.012909,22409.54,22123.94,608
cairo_1404,cairo,1.006217,6283.32,6244.49,177
cairo_0440,cairo,1.0081,14895.59,14775.91,257
cairo_1290,cairo,1.067017,5404.68,5065.23,90
cairo_1834,cairo,1.004775,3616.56,3599.37,42
cairo_1703,cairo,1.078996,4369.06,4049.19,40
cairo_0748,cairo,1.007535,4925.59,4888.75,107
cairo_0978,cairo,1.051663,5553.2,5280.4,59
cairo_2082,cairo,1.003637,4719.53,4702.43,57
cairo_1760,cairo,1.048641,15686.13,14958.54,281
cairo_0502,cairo,1.012142,28267.49,27928.4,895
cairo_1243,cairo,1.051256,4139.9,3938.05,52
cairo_2091,cairo,1.001305,3905.32,3900.23,85
cairo_1582,cairo,1.039085,5809.77,5591.23,107
cairo_0439,cairo,1.026552,22813.25,22223.19,581
cairo_0602,cairo,1.008549,13802.39,13685.4,251
cairo_1242,cairo,1.057438,6025.57,5698.27,64
cairo_0596,cairo,1.088531,6370.71,5852.58,148
cairo_1198,cairo,1.002541,11441.98,11412.98,145
cairo_0493,cairo,1.02505,14150.86,13805.04,370
cairo_1969,cairo,1.010754,6704.87,6633.53,92
cairo_0910,cairo,1.06827,9956.82,9320.51,145
cairo_0457,cairo,1.032136,13274.49,12861.19,241
cairo_1989,cairo,1.108736,16899.07,15241.74,352
cairo_0775,cairo,1.046293,6522.77,6234.18,103
cairo_0028,cairo,1.006094,17025.88,16922.75,454
cairo_1474,cairo,1.026555,14476.97,14102.47,299
cairo_0726,cairo,1.044749,4637.89,4439.23,48
cairo_1621,cairo,1.114899,4576.29,4104.66,94
cairo_0489,cairo,1.077292,10934.86,10150.32,164
cairo_1170,cairo,1.085735,5847.72,5385.95,118
cairo_0145,cairo,1.070582,8442.04,7885.47,154
cairo_0765,cairo,1.020792,20156.12,19745.58,539
cairo_1809,cairo,1.035513,2816.04,2719.46,38
cairo_0477,cairo,1.037173,20810.2,20064.35,450
cairo_0855,cairo,1.06173,13784.48,12983.03,304
cairo_0281,cairo,1.013697,12234.03,12068.72,323
cairo_1602,cairo,1.101894,38666.44,35090.91,1463
cairo_1333,cairo,1.042679,5369.9,5150.1,105
cairo_0004,cairo,1.024378,14193.79,13856.01,245
cairo_0914,cairo,1.027799,16890.78,16433.92,337
cairo_0791,cairo,1.048415,13870.68,13230.14,232
cairo_0153,cairo,1.039345,8043.22,7738.74,197
cairo_0232,cairo,1.023276,15919.79,15557.67,316
cairo_0435,cairo,1.012953,6766.47,6679.94,177
cairo_0090,cairo,1.008108,21324.34,21152.85,658
cairo_1845,cairo,1.044095,5870.33,5622.41,76
cairo_0542,cairo,1.061424,6167.04,5810.16,100
cairo_0416,cairo,1.023746,9827.06,9599.12,128
cairo_0544,cairo,1.052703,13063.97,12409.93,162
cairo_0865,cairo,1.019572,12977.72,12728.6,184
cairo_0906,cairo,1.044343,15419.39,14764.68,264
cairo_0350,cairo,1.039967,13994.87,13457.04,478
cairo_0113,cairo,1.015349,20070.18,19766.79,537
cairo_0338,cairo,1.017556,10380.62,10201.52,161
cairo_0043,cairo,1.024209,20696.38,20207.19,546
cairo_0060,cairo,1.058916,16092.45,15197.1,375
cairo_0943,cairo,1.058268,13283.36,12551.98,415
cairo_0942,cairo,1.036292,28195.75,27208.3,1094
cairo_0578,cairo,1.039587,10303.24,9910.9,156
cairo_0496,cairo,1.053209,11497.12,10916.28,250
cairo_0991,cairo,1.102869,23238.54,21070.98,535
caracas_0148,caracas,1.049427,9691.86,9235.38,139
caracas_0043,caracas,1.130294,4280.62,3787.18,83
caracas_0120,caracas,1.043977,5902.58,5653.93,81
caracas_0068,caracas,1.155529,4005.45,3466.34,45
caracas_0373,caracas,1.07423,9264.57,8624.38,139
caracas_0387,caracas,1.142663,12826.82,11225.37,260
caracas_0399,caracas,1.11703,5638.26,5047.55,93
casablanca_0041,casablanca,1.016916,22640.88,22264.26,548
casablanca_0269,casablanca,1.045563,9410.7,9000.61,134
casablanca_0259,casablanca,1.047554,19231.09,18358.08,446
casablanca_0103,casablanca,1.061853,13450.98,12667.46,218
casablanca_0048,casablanca,1.045451,8700.53,8322.27,138
casablanca_0078,casablanca,1.040434,10085.53,9693.58,194
casablanca_0261,casablanca,1.061792,15829.72,14908.49,311
casablanca_0316,casablanca,1.041916,16060.99,15414.86,370
casablanca_0243,casablanca,1.060054,18314.9,17277.32,429
casablanca_0159,casablanca,1.017929,16627.11,16334.25,322
casablanca_0262,casablanca,1.059859,8079.78,7623.45,116
chandigarh_0157,chandigarh,1.011909,7659.62,7569.47,286
chandigarh_0018,chandigarh,1.050209,8784.19,8364.23,292
chandigarh_0102,chandigarh,1.027327,10967.43,10675.7,170
chandigarh_0057,chandigarh,1.011605,12669.69,12524.35,187
chandigarh_0026,chandigarh,1.069039,6904.77,6458.86,110
chandigarh_0035,chandigarh,1.035953,3369.33,3252.39,61
chandigarh_0113,chandigarh,1.006104,5880.95,5845.27,62
chandigarh_0170,chandigarh,1.136396,9805.08,8628.23,167
chandigarh_0090,chandigarh,1.045866,13713.15,13111.76,204
chandigarh_0055,chandigarh,1.049891,13001.9,12384.05,216
chandigarh_0043,chandigarh,1.04004,9356.97,8996.73,135
chandigarh_0088,chandigarh,1.030866,10867.35,10541.96,160
chandigarh_0056,chandigarh,1.02041,12039.38,11798.57,210
chandigarh_0153,chandigarh,1.069631,6789.05,6347.1,93
chandigarh_0158,chandigarh,1.060837,5272.82,4970.44,71
chennai_0572,chennai,1.032326,9911.23,9600.87,233
chennai_0193,chennai,1.026106,10133.88,9876.06,129
chennai_0186,chennai,1.033933,11250.39,10881.16,160
chennai_0614,chennai,1.024883,7397.57,7217.96,93
chennai_0157,chennai,1.024042,13946.3,13618.88,207
chennai_0277,chennai,1.012802,12747.55,12586.43,192
chennai_0194,chennai,1.020642,12183.22,11936.82,171
chennai_0427,chennai,1.013526,9114.59,8992.95,104
chennai_0481,chennai,1.033869,9541.57,9228.99,128
chennai_0025,chennai,1.03436,15231.57,14725.6,255
chennai_0446,chennai,1.036851,5736.68,5532.79,85
chennai_0188,chennai,1.042589,9437.41,9051.9,137
chennai_0221,chennai,1.035679,10349.5,9992.96,157
chennai_0069,chennai,1.03726,11910.25,11482.42,179
chennai_0046,chennai,1.025871,14071.63,13716.76,217
chennai_0044,chennai,1.033873,7091.0,6858.67,98
chennai_0216,chennai,1.053718,6459.37,6130.08,101
chennai_0644,chennai,1.033684,14384.3,13915.57,255
chennai_0503,chennai,1.052437,8272.21,7860.06,134
chennai_0411,chennai,1.052776,13093.98,12437.57,180
chennai_0403,chennai,1.072525,11359.35,10591.22,160
chennai_0622,chennai,1.018817,9620.54,9442.86,166
chennai_0324,chennai,1.017924,15059.91,14794.73,241
chennai_0374,chennai,1.03639,6809.32,6570.23,99
chennai_0394,chennai,1.018842,8342.44,8188.16,136
chennai_0178,chennai,1.031646,14061.92,13630.56,216
chennai_0307,chennai,1.043474,15459.05,14814.99,251
chennai_0154,chennai,1.110221,12597.04,11346.43,170
chennai_0275,chennai,1.07678,15392.92,14295.32,231
chennai_0317,chennai,1.047448,12727.98,12151.41,184
chennai_0464,chennai,1.033091,14682.15,14211.87,272
chennai_0148,chennai,1.052552,9643.02,9161.56,183
chennai_0037,chennai,1.020907,14349.31,14055.46,234
chennai_0171,chennai,1.054287,14273.21,13538.26,221
chennai_0246,chennai,1.042222,9279.01,8903.1,141
chicago_0338,chicago,1.006612,22082.51,21937.46,569
chicago_0085,chicago,1.005433,19322.01,19217.6,462
chicago_0637,chicago,1.013679,29598.72,29199.3,740
chicago_0582,chicago,1.001442,28486.59,28445.59,694
chicago_0348,chicago,1.008333,30233.78,29983.94,821
chicago_0642,chicago,1.006257,32636.72,32433.8,846
chicago_0255,chicago,1.013344,23763.77,23450.84,701
chicago_0833,chicago,1.006797,27373.13,27188.34,682
chicago_0675,chicago,1.005531,23286.54,23158.44,640
chicago_0639,chicago,1.008432,32930.1,32654.74,969
chicago_0769,chicago,1.003539,27584.21,27486.95,691
chicago_0280,chicago,1.008825,24508.07,24293.68,528
chicago_0199,chicago,1.022224,29539.18,28896.98,801
chicago_0720,chicago,1.005149,26842.06,26704.56,800
chicago_0488,chicago,1.008579,26355.28,26131.1,690
chicago_0719,chicago,1.000875,28743.56,28718.43,833
chicago_0077,chicago,1.004632,22711.33,22606.61,524
chicago_0067,chicago,1.012491,30813.15,30433.03,869
chicago_0506,chicago,1.001248,24843.83,24812.86,556
chicago_0082,chicago,1.00963,26651.74,26397.55,793
chicago_0892,chicago,1.007133,30136.08,29922.65,817
chicago_0576,chicago,1.00165,27000.37,26955.89,780
chicago_0303,chicago,1.008161,30058.87,29815.55,765
chicago_0244,chicago,1.002679,26548.29,26477.36,654
chicago_0156,chicago,1.00409,16343.32,16276.75,451
chicago_0767,chicago,1.008592,26641.72,26414.77,662
chicago_0329,chicago,1.005172,28395.57,28249.47,763
chicago_0269,chicago,1.004425,32653.25,32509.4,889
chicago_0228,chicago,1.008424,19983.29,19816.37,499
chicago_0696,chicago,1.012946,30342.14,29954.34,861
chicago_0394,chicago,1.005212,31594.56,31430.73,837
chicago_0304,chicago,1.002846,28901.6,28819.58,718
chicago_0166,chicago,1.005685,26794.29,26642.82,588
chicago_0536,chicago,1.01036,28749.98,28455.19,768
chicago_0259,chicago,1.019454,29612.56,29047.46,843
chicago_0555,chicago,1.008029,24442.03,24247.35,599
chicago_0232,chicago,1.004331,24753.0,24646.26,634
chicago_0487,chicago,1.005013,26057.73,25927.76,611
chicago_0541,chicago,1.001912,32479.31,32417.34,913
chicago_0638,chicago,1.013766,31405.89,30979.44,837
chicago_0167,chicago,1.006814,28281.01,28089.61,650
chicago_0636,chicago,1.009913,31546.75,31237.09,941
chicago_0396,chicago,1.003807,30495.73,30380.07,790
chicago_0202,chicago,1.013001,27604.21,27249.94,707
chicago_0277,chicago,1.001546,24955.89,24917.37,448
chicago_0347,chicago,1.017046,34377.93,33801.74,953
