patch_id,city_code,elev_mean,elev_std,elev_range,mean_slope
denver_0129,denver,1615.68,5.48,23.0,1.549
chicago_0587,chicago,184.84,1.83,6.0,0.64
bangkok_0857,bangkok,6.8,2.17,10.0,0.912
chicago_0050,chicago,195.64,1.98,9.0,0.714
chicago_0896,chicago,181.92,1.23,4.0,0.558
chicago_0378,chicago,184.16,1.76,9.0,0.754
chicago_0376,chicago,183.12,1.97,7.0,0.826
brasilia_2412,brasilia,982.2,8.39,34.0,2.45
chicago_0537,chicago,186.12,1.21,4.0,0.532
chicago_0144,chicago,190.04,1.46,5.0,0.585
detroit_0004,detroit,182.72,1.46,7.0,0.676
chicago_0345,chicago,186.12,1.07,4.0,0.44
chicago_0761,chicago,183.12,1.56,5.0,0.547
chicago_0875,chicago,179.8,1.17,5.0,0.532
brasilia_0790,brasilia,1161.04,8.84,35.0,2.366
chicago_0103,chicago,189.0,1.17,4.0,0.51
chicago_0939,chicago,179.24,1.82,9.0,0.827
chicago_0262,chicago,185.36,0.93,4.0,0.363
budapest_0684,budapest,123.16,1.99,8.0,0.936
denver_0262,denver,1615.04,3.73,14.0,1.656
chicago_0043,chicago,199.08,2.04,7.0,0.695
vancouver_0029,vancouver,22.68,2.98,15.0,0.911
chicago_0567,chicago,184.68,1.16,5.0,0.483
houston_0906,houston,16.0,6.01,33.0,2.144
brasilia_2417,brasilia,1014.84,7.86,33.0,2.235
detroit_0057,detroit,189.68,1.64,7.0,0.733
cairo_1800,cairo,152.8,2.35,9.0,0.836
chicago_0880,chicago,183.0,1.72,8.0,0.826
chicago_0829,chicago,183.12,1.9,6.0,0.842
chicago_0237,chicago,185.6,1.5,6.0,0.61
chicago_0118,chicago,191.84,1.35,6.0,0.547
chicago_0953,chicago,179.24,1.07,3.0,0.437
chicago_0312,chicago,182.6,0.75,3.0,0.253
cleveland_0177,cleveland,267.68,2.63,12.0,0.856
detroit_0090,detroit,186.84,1.54,6.0,0.591
chicago_0717,chicago,187.04,1.51,6.0,0.615
chicago_0802,chicago,181.36,1.44,6.0,0.574
chicago_0094,chicago,191.12,1.42,6.0,0.62
chicago_0715,chicago,188.2,2.9,12.0,1.016
minneapolis_0274,minneapolis,266.48,3.14,13.0,1.438
chicago_0408,chicago,183.68,1.46,5.0,0.631
denver_0349,denver,1620.6,3.19,11.0,1.065
chicago_0445,chicago,182.52,1.33,5.0,0.544
chicago_0803,chicago,181.8,1.41,5.0,0.607
chicago_0065,chicago,189.8,1.52,6.0,0.599
chicago_0934,chicago,179.48,2.42,11.0,0.907
chicago_0874,chicago,182.76,2.79,10.0,1.214
denver_0258,denver,1638.72,5.39,23.0,1.645
chicago_0301,chicago,189.2,1.39,6.0,0.498
chicago_0676,chicago,187.04,1.56,6.0,0.665
chicago_0169,chicago,189.24,1.24,4.0,0.6
chicago_0234,chicago,186.48,1.58,8.0,0.682
chicago_0387,chicago,190.44,1.47,5.0,0.571
houston_0163,houston,23.44,0.98,5.0,0.507
cairo_2053,cairo,143.72,4.11,18.0,1.404
brasilia_1715,brasilia,1068.12,26.99,90.0,7.79
houston_0901,houston,15.84,1.83,8.0,0.869
portland_0260,portland,45.44,8.2,27.0,2.09
chicago_0952,chicago,180.64,2.99,11.0,0.881
vancouver_0003,vancouver,87.28,10.22,41.0,3.155
houston_1157,houston,16.84,2.07,8.0,0.866
cairo_1767,cairo,149.04,3.34,13.0,0.976
hanoi_0360,hanoi,14.16,1.71,7.0,0.833
chicago_0678,chicago,184.6,2.0,9.0,0.776
chicago_0941,chicago,179.92,1.29,6.0,0.552
chicago_0644,chicago,184.0,1.79,9.0,0.795
chicago_0647,chicago,182.32,1.16,5.0,0.536
detroit_0720,detroit,182.72,1.11,4.0,0.552
chicago_0120,chicago,190.08,1.2,5.0,0.533
chicago_0170,chicago,189.04,1.51,6.0,0.687
cairo_1921,cairo,164.88,3.69,15.0,1.182
chicago_0591,chicago,184.04,1.73,6.0,0.818
chicago_0588,chicago,184.48,1.81,6.0,0.66
cairo_1799,cairo,156.32,3.11,12.0,0.885
minneapolis_0832,minneapolis,262.52,2.61,10.0,1.016
detroit_0433,detroit,194.68,1.32,5.0,0.641
chicago_0226,chicago,184.52,1.7,6.0,0.57
cairo_2100,cairo,101.96,2.62,9.0,0.864
houston_0205,houston,24.4,1.1,4.0,0.525
cleveland_0186,cleveland,210.76,1.92,7.0,0.64
brasilia_0744,brasilia,1221.56,10.33,39.0,2.753
chicago_0902,chicago,179.6,2.42,10.0,0.972
chicago_0276,chicago,186.92,1.7,7.0,0.791
brasilia_1180,brasilia,1128.04,6.7,23.0,1.698
chicago_0219,chicago,185.92,1.26,5.0,0.566
chicago_0370,chicago,182.16,1.16,4.0,0.548
cleveland_0057,cleveland,186.8,12.14,27.0,2.025
houston_0557,houston,31.96,2.09,8.0,0.938
chicago_0540,chicago,184.64,1.6,6.0,0.702
chicago_0261,chicago,185.84,1.16,6.0,0.469
detroit_0217,detroit,177.4,1.39,4.0,0.592
chicago_0217,chicago,187.68,1.64,6.0,0.662
chicago_0940,chicago,179.36,1.49,8.0,0.591
chicago_0422,chicago,184.0,1.2,4.0,0.596
chicago_0546,chicago,183.0,1.55,7.0,0.722
chicago_0583,chicago,186.32,1.22,5.0,0.545
houston_1512,houston,13.96,1.28,5.0,0.58
detroit_0274,detroit,202.6,2.42,11.0,0.966
houston_1198,houston,15.92,2.23,8.0,1.022
chicago_0491,chicago,184.24,1.48,5.0,0.656
chicago_0758,chicago,182.92,2.31,9.0,0.821
chicago_0505,chicago,183.08,1.35,5.0,0.582
chicago_0231,chicago,186.44,1.55,6.0,0.65
cairo_1730,cairo,153.76,2.37,8.0,0.626
budapest_0616,budapest,117.68,3.26,13.0,1.066
cleveland_0163,cleveland,261.8,2.02,9.0,0.832
minneapolis_0782,minneapolis,278.08,3.3,15.0,1.387
chicago_0535,chicago,186.4,0.98,3.0,0.358
chicago_0393,chicago,184.32,1.16,5.0,0.43
houston_0373,houston,22.2,1.57,7.0,0.817
chicago_0068,chicago,183.56,2.58,10.0,0.78
brasilia_1669,brasilia,1085.8,11.24,38.0,2.754
chicago_0260,chicago,186.68,0.97,4.0,0.429
minneapolis_0736,minneapolis,281.8,1.79,5.0,0.641
portland_0322,portland,68.92,5.67,23.0,1.452
chicago_0323,chicago,184.44,1.13,5.0,0.451
chicago_0489,chicago,185.96,1.22,4.0,0.59
chicago_0674,chicago,190.04,1.54,7.0,0.563
minneapolis_0421,minneapolis,257.04,4.69,21.0,1.473
houston_0577,houston,20.52,1.63,6.0,0.728
chicago_0272,chicago,185.44,1.33,6.0,0.615
chicago_0102,chicago,189.48,1.72,7.0,0.763
detroit_0059,detroit,191.64,2.06,10.0,0.971
chicago_0716,chicago,187.84,2.48,11.0,0.708
chicago_0117,chicago,190.92,0.98,3.0,0.449
cairo_2064,cairo,148.44,5.95,24.0,1.679
chicago_0913,chicago,180.56,1.13,4.0,0.461
chicago_0070,chicago,198.64,2.53,9.0,0.9
chicago_0895,chicago,181.88,1.34,5.0,0.592
chicago_0328,chicago,183.36,1.2,5.0,0.515
chicago_0137,chicago,190.92,1.67,6.0,0.619
chicago_0584,chicago,186.08,0.89,4.0,0.363
chicago_0119,chicago,191.2,1.23,5.0,0.521
brasilia_2394,brasilia,992.76,9.09,30.0,2.44
houston_0831,houston,14.12,4.58,20.0,2.299
houston_1410,houston,12.16,0.92,4.0,0.415
chicago_0242,chicago,186.44,1.44,6.0,0.619
chicago_0766,chicago,181.56,1.53,7.0,0.692
chicago_0628,chicago,190.04,1.22,5.0,0.431
chicago_0938,chicago,179.32,1.71,7.0,0.777
denver_0324,denver,1629.92,2.54,10.0,0.741
detroit_0144,detroit,178.08,1.41,6.0,0.614
cleveland_0176,cleveland,277.56,6.86,26.0,2.099
chicago_0908,chicago,179.16,1.91,10.0,0.743
detroit_0306,detroit,203.24,1.99,8.0,0.745
phoenix_0417,phoenix,480.44,3.14,11.0,0.833
chicago_0412,chicago,181.92,1.49,6.0,0.747
sapporo_0246,sapporo,6.96,1.18,5.0,0.489
chicago_0130,chicago,186.48,1.36,5.0,0.562
cairo_2086,cairo,98.88,2.85,13.0,1.056
bucharest_0022,bucharest,87.28,1.64,5.0,0.484
chicago_0430,chicago,201.76,3.41,15.0,1.142
chicago_0188,chicago,183.04,1.37,5.0,0.656
chicago_0332,chicago,184.92,1.67,7.0,0.787
cairo_2120,cairo,90.88,2.61,8.0,0.967
phoenix_0416,phoenix,474.96,2.27,9.0,0.62
detroit_0165,detroit,189.56,1.9,9.0,0.714
chicago_0604,chicago,182.92,2.73,10.0,1.419
detroit_0364,detroit,195.6,1.88,9.0,0.604
detroit_0098,detroit,201.48,2.17,10.0,0.778
cairo_2052,cairo,153.84,5.38,19.0,1.403
detroit_0453,detroit,194.44,1.02,3.0,0.495
minsk_0144,minsk,222.2,6.05,24.0,2.225
chicago_0539,chicago,185.64,1.49,5.0,0.643
denver_0220,denver,1612.2,5.22,23.0,1.684
vancouver_0141,vancouver,95.48,4.33,14.0,1.657
bangkok_1326,bangkok,6.56,2.4,9.0,1.078
brasilia_0344,brasilia,1209.76,10.49,37.0,2.623
denver_0222,denver,1594.64,3.28,14.0,1.313
chicago_0512,chicago,183.56,1.02,4.0,0.558
chicago_0632,chicago,185.84,2.41,8.0,0.942
cleveland_0141,cleveland,225.12,3.25,14.0,1.226
portland_0406,portland,68.8,5.46,18.0,1.459
chicago_0692,chicago,183.0,1.65,6.0,0.795
chicago_0493,chicago,182.88,1.31,5.0,0.605
minneapolis_0446,minneapolis,256.6,2.94,14.0,1.093
denver_0303,denver,1622.88,2.58,9.0,0.867
orlando_0657,orlando,31.76,4.71,24.0,1.776
cleveland_0171,cleveland,212.2,1.79,8.0,0.647
detroit_0205,detroit,203.8,1.5,6.0,0.645
tehran_0480,tehran,1109.64,5.36,18.0,1.688
houston_0760,houston,25.72,1.37,6.0,0.526
chicago_0859,chicago,182.16,1.49,5.0,0.558
brasilia_0311,brasilia,1271.84,8.05,30.0,2.101
chicago_0439,chicago,186.52,1.24,4.0,0.47
chicago_0482,chicago,204.64,3.14,13.0,1.049
chicago_0364,chicago,184.4,1.39,6.0,0.535
chicago_0910,chicago,180.4,1.57,6.0,0.718
fez_0001,fez,389.48,3.41,12.0,1.407
budapest_0604,budapest,120.32,3.8,15.0,0.958
houston_0414,houston,21.32,1.89,6.0,0.746
denver_0172,denver,1614.96,4.18,17.0,1.178
detroit_0321,detroit,183.96,3.29,17.0,1.429
chicago_0161,chicago,188.52,1.3,5.0,0.647
chicago_0855,chicago,179.4,1.47,5.0,0.642
cairo_2068,cairo,116.88,2.93,11.0,0.932
brasilia_2411,brasilia,977.44,3.63,14.0,1.471
detroit_0146,detroit,178.44,1.53,7.0,0.577
chicago_0919,chicago,179.8,1.33,6.0,0.642
vancouver_0153,vancouver,98.52,3.7,17.0,1.15
denver_0239,denver,1637.72,7.07,28.0,2.067
vancouver_0172,vancouver,57.92,5.04,22.0,1.699
denver_0368,denver,1640.72,3.13,11.0,1.061
vancouver_0108,vancouver,62.44,6.64,25.0,1.834
houston_0556,houston,31.44,2.87,15.0,1.27
brasilia_0892,brasilia,1103.12,14.22,46.0,3.163
chicago_0110,chicago,191.48,1.3,5.0,0.589
denver_0171,denver,1619.8,5.26,18.0,1.371
chicago_0731,chicago,185.08,2.35,9.0,0.996
houston_0595,houston,29.28,1.46,7.0,0.635
houston_0083,houston,24.8,1.33,5.0,0.596
detroit_0613,detroit,186.44,1.83,8.0,0.728
chicago_0500,chicago,183.12,1.82,7.0,0.754
chicago_0419,chicago,186.8,1.85,7.0,0.693
detroit_0006,detroit,182.76,1.42,7.0,0.619
cairo_1519,cairo,126.08,2.61,10.0,0.847
chicago_0424,chicago,186.4,1.65,6.0,0.832
chicago_0672,chicago,190.0,2.4,10.0,0.77
sapporo_0312,sapporo,2.12,2.55,9.0,1.151
vancouver_0159,vancouver,51.08,7.71,28.0,2.056
brasilia_0587,brasilia,1100.0,10.05,37.0,2.706
chennai_0572,chennai,3.56,2.48,11.0,1.133
chicago_0406,chicago,183.72,2.07,11.0,0.716
buenosaires_0101,buenosaires,13.6,2.81,12.0,0.971
cairo_1979,cairo,150.32,4.21,15.0,1.521
detroit_0196,detroit,183.48,1.5,6.0,0.657
phoenix_0442,phoenix,318.6,3.29,14.0,1.186
brasilia_0343,brasilia,1198.12,10.12,40.0,2.637
detroit_0273,detroit,201.12,1.92,8.0,0.829
cleveland_0391,cleveland,260.2,5.4,19.0,1.616
chicago_0898,chicago,182.16,2.8,12.0,1.021
