patch_id,city_code,elev_mean,elev_std,elev_range,mean_slope
toronto_0035,toronto,140.44,3.65,14.0,1.172
houston_1151,houston,14.08,1.65,8.0,0.73
miami_0145,miami,10.68,1.54,6.0,0.592
chicago_0212,chicago,190.56,1.02,5.0,0.408
phoenix_1409,phoenix,367.56,3.07,12.0,0.98
lasvegas_1147,lasvegas,537.32,8.3,33.0,2.375
cleveland_0331,cleveland,207.4,2.87,14.0,1.057
amsterdam_0238,amsterdam,0.12,0.43,2.0,0.092
minneapolis_0272,minneapolis,266.96,5.04,17.0,2.148
cleveland_0042,cleveland,185.84,12.66,29.0,2.228
denver_0120,denver,1617.52,12.51,42.0,3.259
detroit_0330,detroit,199.6,1.79,7.0,0.655
portland_0317,portland,49.16,5.17,25.0,1.839
phoenix_0919,phoenix,427.88,2.39,10.0,0.637
laplata_0012,laplata,12.32,2.28,7.0,0.651
denver_0105,denver,1594.08,5.66,24.0,1.762
chicago_0894,chicago,181.48,1.63,6.0,0.832
detroit_0441,detroit,187.36,1.89,7.0,0.887
kyoto_0303,kyoto,24.52,2.52,11.0,0.882
saltlakecity_0192,saltlakecity,1309.88,3.81,14.0,1.06
mendoza_0048,mendoza,767.6,7.62,28.0,1.866
chennai_0614,chennai,5.8,2.19,9.0,0.959
houston_1077,houston,17.84,1.8,7.0,0.702
phoenix_0568,phoenix,329.52,1.84,8.0,0.892
orlando_0533,orlando,36.36,2.38,10.0,1.145
lasvegas_0661,lasvegas,623.92,2.86,11.0,1.178
vancouver_0038,vancouver,27.04,11.04,43.0,3.621
cairo_2032,cairo,170.4,3.36,13.0,1.352
cairo_1950,cairo,159.16,3.64,15.0,1.21
orlando_1118,orlando,20.32,3.3,12.0,1.343
chandigarh_0102,chandigarh,339.52,3.01,14.0,1.034
cleveland_0084,cleveland,225.64,2.95,11.0,0.783
bogota_0510,bogota,2568.36,7.87,31.0,2.077
saltlakecity_0108,saltlakecity,1295.2,2.84,12.0,0.956
bangkok_1515,bangkok,4.16,2.77,10.0,1.086
portland_0568,portland,78.48,1.63,7.0,0.588
chicago_0013,chicago,195.36,2.48,13.0,1.102
chicago_0760,chicago,183.0,1.9,7.0,0.866
chicago_0694,chicago,183.36,2.96,13.0,0.967
chicago_0562,chicago,185.04,2.51,14.0,1.023
chicago_0330,chicago,184.32,1.59,6.0,0.7
houston_1372,houston,16.16,2.56,10.0,1.017
chicago_0612,chicago,185.6,1.47,6.0,0.586
houston_0976,houston,16.56,1.5,6.0,0.688
mendoza_0052,mendoza,764.28,4.92,17.0,1.45
thessaloniki_0640,thessaloniki,0.68,2.65,9.0,0.941
cairo_0227,cairo,20.36,3.35,17.0,1.447
orlando_0529,orlando,34.8,2.53,8.0,1.018
cleveland_0364,cleveland,258.56,17.72,70.0,4.538
detroit_0019,detroit,187.48,1.39,6.0,0.606
chicago_0093,chicago,192.2,2.04,10.0,0.73
chicago_0807,chicago,183.92,2.98,13.0,1.156
miami_0155,miami,5.68,4.78,14.0,0.933
houston_0638,houston,28.4,1.72,6.0,0.719
chicago_0386,chicago,192.24,1.24,5.0,0.485
minneapolis_0269,minneapolis,269.6,2.55,11.0,0.907
tehran_0830,tehran,1117.44,7.76,26.0,1.995
laplata_0020,laplata,13.24,2.12,8.0,0.853
chicago_0685,chicago,184.8,1.41,6.0,0.637
vancouver_0011,vancouver,68.44,14.15,58.0,3.778
bangkok_2262,bangkok,3.76,2.66,11.0,1.136
cairo_1404,cairo,186.72,4.29,20.0,1.384
bangkok_1415,bangkok,4.64,2.0,9.0,0.915
saltlakecity_0198,saltlakecity,1328.76,12.09,41.0,3.316
sapporo_0119,sapporo,6.6,1.44,8.0,0.608
minneapolis_0396,minneapolis,264.2,1.92,7.0,0.676
lasvegas_1156,lasvegas,577.72,7.46,29.0,1.992
houston_0900,houston,16.32,1.87,9.0,0.765
minneapolis_0386,minneapolis,257.48,2.06,8.0,0.945
houston_0253,houston,22.76,1.5,6.0,0.571
houston_0859,houston,16.52,2.16,8.0,0.948
brasilia_0435,brasilia,1105.72,22.76,93.0,5.271
cleveland_0436,cleveland,275.4,2.87,9.0,0.853
detroit_0389,detroit,195.48,1.75,7.0,0.697
houston_0953,houston,17.56,1.63,7.0,0.723
tehran_0389,tehran,1507.84,12.03,44.0,3.432
cairo_0440,cairo,75.76,9.21,31.0,2.351
portland_0315,portland,43.64,7.08,25.0,1.963
detroit_0087,detroit,181.8,1.55,6.0,0.67
denver_0033,denver,1661.84,3.29,12.0,1.151
houston_0552,houston,25.48,1.92,6.0,0.796
vancouver_0073,vancouver,37.36,11.02,38.0,2.8
portland_0399,portland,70.52,8.69,29.0,2.203
brasilia_1179,brasilia,1123.08,6.09,22.0,1.554
houston_0152,houston,31.12,2.1,9.0,0.884
brasilia_0403,brasilia,1110.68,23.66,82.0,5.532
chicago_0575,chicago,187.88,1.18,4.0,0.546
chicago_0446,chicago,182.76,1.66,6.0,0.72
phoenix_0638,phoenix,358.28,4.24,21.0,1.359
brasilia_0224,brasilia,1210.88,6.74,23.0,1.758
minneapolis_0757,minneapolis,274.92,8.07,35.0,2.608
brasilia_0689,brasilia,1230.36,7.95,28.0,2.077
phoenix_1056,phoenix,343.48,2.98,11.0,1.201
cairo_1290,cairo,187.24,4.25,16.0,1.342
phoenix_0923,phoenix,446.96,3.79,17.0,1.565
lasvegas_0892,lasvegas,613.84,3.0,11.0,0.884
budapest_0460,budapest,110.96,1.37,5.0,0.566
portland_0376,portland,65.64,2.94,12.0,1.026
phoenix_0506,phoenix,317.28,3.3,13.0,1.399
chicago_0109,chicago,192.0,1.96,8.0,0.923
lasvegas_0069,lasvegas,790.44,7.97,28.0,2.077
detroit_0255,detroit,177.48,1.5,5.0,0.695
chicago_0801,chicago,181.8,1.85,7.0,0.641
kyiv_0939,kyiv,103.72,5.85,21.0,2.075
chicago_0626,chicago,189.12,2.3,11.0,0.926
mendoza_0045,mendoza,783.96,6.64,24.0,1.643
chicago_0514,chicago,184.16,1.51,6.0,0.561
detroit_0101,detroit,205.6,1.52,7.0,0.75
houston_1362,houston,19.36,2.8,14.0,1.166
phoenix_1075,phoenix,359.4,3.01,12.0,0.965
budapest_0709,budapest,130.92,2.37,9.0,0.763
orlando_0845,orlando,36.52,2.47,10.0,1.141
vancouver_0195,vancouver,95.12,7.96,31.0,2.509
detroit_0685,detroit,182.64,1.35,5.0,0.537
houston_0259,houston,24.32,1.46,6.0,0.681
vancouver_0121,vancouver,56.4,7.49,25.0,2.142
detroit_0399,detroit,187.8,1.79,7.0,0.654
tehran_0278,tehran,1222.68,8.92,37.0,2.37
phoenix_0882,phoenix,332.0,4.1,17.0,1.262
phoenix_1319,phoenix,453.92,2.64,11.0,0.76
portland_0236,portland,27.92,9.57,33.0,2.564
tashkent_0181,tashkent,393.72,2.25,9.0,0.836
brasilia_1773,brasilia,1141.56,14.42,53.0,3.646
portland_0235,portland,49.56,7.48,25.0,1.931
orlando_0586,orlando,31.44,2.99,14.0,1.191
detroit_0091,detroit,188.96,1.64,7.0,0.721
houston_1333,houston,16.32,1.93,8.0,0.826
manhattan_0024,manhattan,13.24,6.14,26.0,2.354
detroit_0534,detroit,191.36,2.54,10.0,1.061
manhattan_0081,manhattan,12.4,3.12,13.0,1.444
detroit_0209,detroit,207.6,1.7,6.0,0.648
houston_0211,houston,23.36,1.87,8.0,0.845
bangkok_1967,bangkok,4.64,1.69,6.0,0.707
kyoto_0386,kyoto,48.2,3.01,12.0,1.119
denver_0217,denver,1633.76,8.75,36.0,2.397
detroit_0735,detroit,181.88,1.77,9.0,0.695
detroit_0612,detroit,185.88,2.44,10.0,1.005
houston_0306,houston,28.76,2.05,7.0,0.736
chicago_0778,chicago,185.52,1.9,7.0,0.966
houston_0043,houston,24.08,2.23,9.0,1.12
chandigarh_0057,chandigarh,329.16,1.99,9.0,0.696
sapporo_0370,sapporo,12.88,1.63,7.0,0.724
chicago_0360,chicago,184.84,1.59,6.0,0.601
lasvegas_0121,lasvegas,767.28,15.23,64.0,3.961
lasvegas_0749,lasvegas,624.68,3.34,15.0,1.207
vancouver_0060,vancouver,96.0,5.78,24.0,1.51
phoenix_1037,phoenix,432.36,2.54,9.0,0.78
minneapolis_0813,minneapolis,276.64,2.51,13.0,0.945
phoenix_0636,phoenix,350.76,1.9,7.0,0.798
saltlakecity_0088,saltlakecity,1288.2,1.62,7.0,0.703
lasvegas_0955,lasvegas,558.24,2.63,10.0,1.129
tehran_0449,tehran,1096.24,2.27,9.0,1.107
bangkok_1658,bangkok,2.6,1.83,8.0,0.972
houston_1557,houston,10.96,1.84,8.0,0.82
denver_0304,denver,1616.08,3.58,15.0,1.129
sapporo_0406,sapporo,6.96,1.61,8.0,0.646
hanoi_2678,hanoi,7.92,2.23,10.0,0.933
istanbul_0996,istanbul,58.4,13.6,43.0,3.456
bangkok_0889,bangkok,6.76,1.56,6.0,0.666
saltlakecity_0180,saltlakecity,1296.8,2.58,9.0,0.839
lasvegas_0847,lasvegas,563.52,1.86,8.0,0.621
brasilia_0735,brasilia,1208.28,3.74,14.0,1.352
chicago_0287,chicago,184.96,1.54,6.0,0.771
lasvegas_0713,lasvegas,638.44,4.87,22.0,1.392
saltlakecity_0015,saltlakecity,1291.16,1.12,5.0,0.489
chicago_0721,chicago,183.24,2.49,10.0,1.006
thessaloniki_0635,thessaloniki,15.72,10.13,32.0,2.421
detroit_0750,detroit,180.6,1.77,9.0,0.68
quito_0989,quito,2772.16,9.95,33.0,2.536
lasvegas_0801,lasvegas,588.24,3.82,15.0,1.382
chicago_0893,chicago,180.64,1.67,7.0,0.691
houston_0845,houston,26.12,1.63,8.0,0.744
vienna_0633,vienna,152.96,1.71,8.0,0.764
cairo_1834,cairo,156.12,4.04,14.0,1.298
minneapolis_0390,minneapolis,263.08,3.8,11.0,0.994
chicago_0931,chicago,181.48,1.47,5.0,0.734
phoenix_0767,phoenix,338.16,2.52,10.0,1.252
saltlakecity_0143,saltlakecity,1293.04,2.16,10.0,0.938
cleveland_0147,cleveland,265.16,2.31,9.0,0.756
portland_0299,portland,52.96,3.46,12.0,1.315
brasilia_1146,brasilia,1100.24,7.1,25.0,2.04
vancouver_0020,vancouver,39.0,20.51,64.0,4.933
chennai_0157,chennai,15.48,1.96,6.0,0.872
denver_0063,denver,1626.44,4.25,15.0,1.624
orlando_0652,orlando,28.6,6.44,21.0,2.06
phoenix_0089,phoenix,321.08,1.62,7.0,0.602
chicago_0051,chicago,199.52,1.98,8.0,0.768
tashkent_0121,tashkent,386.68,2.34,9.0,1.177
minneapolis_0129,minneapolis,273.28,4.07,13.0,1.649
portland_0388,portland,79.36,1.85,8.0,0.727
houston_0079,houston,23.96,1.28,6.0,0.519
detroit_0344,detroit,182.2,2.24,11.0,0.981
phoenix_1071,phoenix,343.0,2.21,10.0,0.916
minneapolis_0785,minneapolis,269.08,3.19,13.0,1.083
buenosaires_0012,buenosaires,26.96,3.82,16.0,1.684
detroit_0237,detroit,196.92,2.04,9.0,0.923
houston_0587,houston,19.52,2.52,9.0,0.907
chicago_0771,chicago,183.16,1.08,5.0,0.484
portland_0410,portland,72.32,1.52,6.0,0.594
chennai_0277,chennai,14.76,1.8,7.0,0.793
cairo_1703,cairo,142.64,3.55,13.0,1.138
denver_0084,denver,1615.56,11.24,34.0,2.889
bogota_0265,bogota,2550.12,2.39,11.0,1.09
chicago_0230,chicago,185.88,1.31,6.0,0.522
houston_0852,houston,16.56,1.53,8.0,0.661
detroit_0074,detroit,179.68,1.64,9.0,0.639
denver_0128,denver,1615.04,8.73,35.0,2.229
sapporo_0588,sapporo,5.48,1.45,5.0,0.58
portland_0373,portland,69.72,10.6,40.0,2.869
cairo_0748,cairo,181.44,5.83,28.0,1.593
phoenix_0762,phoenix,327.52,2.59,11.0,1.199
chicago_0854,chicago,181.24,1.75,8.0,0.7
orlando_0808,orlando,38.92,3.83,18.0,1.699
detroit_0312,detroit,175.6,1.98,8.0,0.796
portland_0392,portland,71.0,1.72,7.0,0.717
houston_0876,houston,22.28,1.73,6.0,0.852
denver_0257,denver,1637.44,7.31,27.0,2.167
lasvegas_0756,lasvegas,629.12,3.28,15.0,1.053
houston_0457,houston,21.0,1.36,5.0,0.671
brasilia_0644,brasilia,1247.32,8.96,34.0,2.19
phoenix_0672,phoenix,488.64,3.07,10.0,0.84
houston_1409,houston,12.48,1.17,5.0,0.409
thessaloniki_2650,thessaloniki,63.08,10.95,38.0,2.863
phoenix_1427,phoenix,440.16,2.63,12.0,1.099
detroit_0177,detroit,205.2,1.88,9.0,0.737
orlando_0086,orlando,32.16,6.77,26.0,2.576
detroit_0221,detroit,178.68,1.35,6.0,0.576
bangkok_0858,bangkok,6.56,3.19,17.0,1.199
detroit_0195,detroit,181.76,1.77,7.0,0.758
cairo_0978,cairo,99.68,4.56,17.0,1.346
lasvegas_0901,lasvegas,587.44,3.52,13.0,1.198
houston_1339,houston,14.64,1.57,7.0,0.712
phoenix_0319,phoenix,309.56,2.58,12.0,1.054
denver_0195,denver,1621.04,5.3,22.0,1.757
detroit_0238,detroit,199.32,3.07,13.0,1.173
detroit_0071,detroit,179.92,1.44,6.0,0.583
sapporo_0378,sapporo,4.52,0.85,3.0,0.37
tehran_0906,tehran,1271.96,5.98,24.0,1.709
manhattan_0060,manhattan,37.88,5.49,22.0,2.064
bogota_0371,bogota,2591.04,5.88,22.0,1.377
denver_0263,denver,1612.48,5.81,21.0,2.245
bogota_0563,bogota,2557.84,4.08,17.0,1.287
cairo_2082,cairo,127.8,4.2,15.0,1.324
chicago_0624,chicago,186.6,2.55,9.0,0.865
houston_0812,houston,17.28,1.4,7.0,0.644
bucharest_0079,bucharest,91.2,2.15,9.0,0.672
cleveland_0385,cleveland,281.12,6.99,29.0,2.187
brasilia_1604,brasilia,1011.64,9.88,36.0,2.219
bucharest_0126,bucharest,81.8,1.36,5.0,0.62
lasvegas_0868,lasvegas,600.24,3.63,16.0,1.107
budapest_0666,budapest,134.92,3.75,13.0,1.109
chandigarh_0026,chandigarh,315.64,2.54,11.0,1.277
houston_0061,houston,27.8,2.14,9.0,0.826
brasilia_0940,brasilia,1216.12,10.67,37.0,2.817
lasvegas_0308,lasvegas,722.92,3.7,16.0,1.285
lasvegas_0975,lasvegas,537.6,5.95,20.0,1.535
brasilia_2079,brasilia,1113.88,23.21,92.0,5.839
orlando_0693,orlando,31.56,3.05,12.0,1.303
cairo_1760,cairo,191.52,4.97,20.0,1.392
houston_1487,houston,11.96,3.53,18.0,1.472
munich_0504,munich,529.28,2.01,7.0,1.03
cairo_0502,cairo,31.24,6.08,19.0,1.832
orlando_0928,orlando,26.64,2.83,11.0,1.364
chicago_0609,chicago,183.64,2.51,10.0,0.962
lasvegas_0345,lasvegas,720.4,4.31,15.0,1.302
chicago_0652,chicago,182.64,3.3,14.0,1.644
kyiv_0893,kyiv,89.92,1.57,6.0,0.63
tehran_0685,tehran,1316.44,12.21,40.0,3.314
miami_0017,miami,10.64,1.89,10.0,0.841
lasvegas_0728,lasvegas,611.16,4.56,17.0,1.497
portland_0274,portland,18.92,5.8,25.0,2.103
phoenix_1397,phoenix,341.0,2.9,13.0,1.257
cleveland_0256,cleveland,190.48,7.41,28.0,1.854
hanoi_0401,hanoi,16.04,2.18,9.0,0.91
cairo_1243,cairo,451.76,4.84,17.0,1.509
tashkent_0274,tashkent,452.08,2.48,10.0,0.996
bogota_0567,bogota,2553.08,1.94,7.0,0.927
houston_1456,houston,10.6,2.12,7.0,0.834
brasilia_0979,brasilia,1251.92,3.27,12.0,1.075
lasvegas_0605,lasvegas,677.76,3.82,13.0,1.069
houston_0113,houston,32.2,3.15,14.0,1.136
lasvegas_0846,lasvegas,561.68,2.11,8.0,0.824
phoenix_0724,phoenix,425.24,3.08,13.0,1.111
bogota_0027,bogota,2542.64,2.81,15.0,1.115
phoenix_1073,phoenix,349.76,2.63,10.0,0.899
lasvegas_0226,lasvegas,795.76,5.23,18.0,1.407
lasvegas_0427,lasvegas,678.68,4.53,16.0,1.272
houston_0592,houston,25.76,1.75,6.0,0.735
cairo_2091,cairo,230.92,5.45,24.0,1.656
bangkok_2352,bangkok,3.2,1.62,6.0,0.631
miami_0080,miami,8.76,1.21,5.0,0.506
phoenix_1484,phoenix,437.64,2.77,10.0,0.885
budapest_0595,budapest,121.6,1.62,6.0,0.719
denver_0177,denver,1610.52,3.05,13.0,1.049
saltlakecity_0128,saltlakecity,1292.92,1.26,6.0,0.646
orlando_0952,orlando,29.72,2.81,13.0,1.443
lasvegas_0312,lasvegas,712.4,3.92,12.0,1.118
lasvegas_0359,lasvegas,703.44,4.11,16.0,1.13
orlando_0703,orlando,37.2,3.12,12.0,1.486
sapporo_0345,sapporo,3.52,1.84,6.0,0.735
minneapolis_0673,minneapolis,272.56,5.66,18.0,2.011
lasvegas_0794,lasvegas,619.12,3.69,17.0,1.169
cleveland_0087,cleveland,187.68,12.98,31.0,2.219
denver_0273,denver,1659.12,5.19,20.0,1.993
bangkok_1044,bangkok,6.8,2.67,11.0,1.135
cleveland_0046,cleveland,238.44,2.52,12.0,1.04
denver_0150,denver,1601.24,4.82,16.0,1.72
lasvegas_0747,lasvegas,617.08,4.44,17.0,1.292
phoenix_0163,phoenix,331.92,2.31,10.0,0.797
chicago_0417,chicago,183.0,1.67,6.0,0.721
phoenix_1076,phoenix,365.44,2.65,11.0,1.016
phoenix_0943,phoenix,334.0,3.96,13.0,1.235
houston_0720,houston,27.08,1.41,6.0,0.561
denver_0143,denver,1597.64,4.3,14.0,1.627
chicago_0564,chicago,186.08,1.67,7.0,0.696
saltlakecity_0142,saltlakecity,1292.4,1.02,4.0,0.452
buenosaires_0083,buenosaires,12.84,2.24,8.0,0.806
phoenix_0161,phoenix,327.24,1.5,6.0,0.648
vancouver_0137,vancouver,9.84,6.89,23.0,1.882
bengaluru_0969,bengaluru,892.16,3.55,14.0,1.224
houston_1360,houston,19.52,3.23,13.0,1.367
lasvegas_0303,lasvegas,759.92,4.91,19.0,1.27
phoenix_0578,phoenix,361.36,2.11,10.0,0.805
sapporo_0329,sapporo,43.16,2.52,10.0,0.878
quito_0243,quito,2990.48,25.19,81.0,6.506
denver_0278,denver,1636.8,5.82,21.0,1.947
cleveland_0501,cleveland,188.16,2.13,10.0,0.804
kyoto_0306,kyoto,41.0,4.42,16.0,1.272
detroit_0417,detroit,182.52,2.48,11.0,1.15
lasvegas_0587,lasvegas,633.96,3.24,14.0,0.97
houston_0236,houston,30.52,1.9,8.0,0.97
bangkok_0970,bangkok,8.52,2.47,10.0,1.269
houston_1033,houston,16.88,1.88,9.0,0.797
chandigarh_0035,chandigarh,340.0,3.16,13.0,1.312
chandigarh_0113,chandigarh,329.8,2.15,9.0,0.851
phoenix_0562,phoenix,321.8,9.22,44.0,3.006
houston_0541,houston,23.12,4.18,20.0,1.659
houston_0878,houston,24.12,1.99,8.0,0.775
seattle_0115,seattle,90.92,8.49,31.0,2.124
toronto_0250,toronto,191.88,1.66,6.0,0.622
bangkok_1064,bangkok,6.56,1.68,6.0,0.72
orlando_0081,orlando,39.28,3.8,15.0,1.334
bogota_0375,bogota,2568.28,2.63,10.0,0.834
lasvegas_0907,lasvegas,567.12,4.38,16.0,1.203
orlando_0254,orlando,29.32,3.57,15.0,1.323
miami_0156,miami,6.56,6.27,26.0,1.31
vancouver_0090,vancouver,80.4,8.03,26.0,2.026
detroit_0763,detroit,180.48,1.17,4.0,0.58
cleveland_0159,cleveland,185.96,11.85,31.0,2.376
lasvegas_0821,lasvegas,621.76,2.82,11.0,0.96
cairo_1582,cairo,296.92,3.88,17.0,1.36
chicago_0350,chicago,182.92,1.35,6.0,0.629
phoenix_0076,phoenix,320.12,1.45,5.0,0.528
lasvegas_0807,lasvegas,564.84,3.71,14.0,1.194
portland_0333,portland,48.8,8.62,35.0,2.458
sapporo_0616,sapporo,6.12,1.63,6.0,0.619
adelaide_0651,adelaide,31.84,2.85,12.0,1.0
cleveland_0439,cleveland,277.2,2.45,7.0,0.69
denver_0185,denver,1574.92,2.59,12.0,1.139
vancouver_0139,vancouver,71.64,10.94,36.0,2.97
saltlakecity_0031,saltlakecity,1294.6,1.77,7.0,0.65
chicago_0326,chicago,182.04,1.61,7.0,0.719
phoenix_1002,phoenix,327.36,1.92,6.0,0.806
cairo_0439,cairo,66.6,5.93,21.0,1.833
tashkent_0428,tashkent,468.4,5.15,19.0,1.56
orlando_0459,orlando,33.16,2.71,11.0,1.103
phoenix_0821,phoenix,324.0,2.48,9.0,0.925
brasilia_0603,brasilia,1227.72,11.01,41.0,2.794
minneapolis_0716,minneapolis,292.88,3.27,13.0,0.934
chicago_0551,chicago,184.52,1.96,9.0,1.004
lasvegas_0466,lasvegas,667.0,3.12,12.0,1.09
phoenix_0639,phoenix,360.72,2.22,11.0,0.808
chicago_0295,chicago,192.28,1.28,6.0,0.595
denver_0289,denver,1683.44,7.77,28.0,2.063
adelaide_0982,adelaide,69.6,5.97,23.0,1.573
cairo_0602,cairo,46.72,5.29,25.0,2.013
lasvegas_0556,lasvegas,657.68,3.92,14.0,1.078
budapest_0718,budapest,141.92,3.06,11.0,0.964
bangkok_1715,bangkok,3.08,1.52,7.0,0.778
brasilia_1537,brasilia,1011.8,7.59,25.0,2.137
minneapolis_0367,minneapolis,266.12,2.03,9.0,0.816
detroit_0532,detroit,192.28,1.64,5.0,0.679
lasvegas_0419,lasvegas,709.68,3.71,15.0,1.282
phoenix_0187,phoenix,424.56,10.8,54.0,3.418
seattle_0112,seattle,24.12,12.7,43.0,3.568
hanoi_4046,hanoi,6.56,1.92,9.0,0.623
houston_0539,houston,21.4,2.19,8.0,0.891
chicago_0744,chicago,214.6,31.4,128.0,9.805
toronto_0534,toronto,97.28,8.42,29.0,2.488
phoenix_1601,phoenix,440.24,2.57,12.0,1.047
houston_1313,houston,13.28,1.64,7.0,0.776
phoenix_0779,phoenix,377.68,2.29,9.0,0.796
lasvegas_0274,lasvegas,722.08,4.52,16.0,1.196
phoenix_1767,phoenix,434.72,2.66,10.0,0.868
chicago_0557,chicago,181.96,2.22,8.0,0.943
chicago_0646,chicago,182.44,1.96,9.0,0.831
tbilisi_0164,tbilisi,517.04,11.58,43.0,3.149
adelaide_0717,adelaide,16.64,2.0,8.0,0.768
phoenix_0575,phoenix,351.2,2.26,9.0,1.148
portland_0499,portland,95.08,2.45,12.0,0.925
kyiv_0158,kyiv,151.4,5.16,19.0,1.623
minsk_0001,minsk,255.52,3.03,13.0,0.906
chicago_0509,chicago,180.72,2.69,12.0,1.275
detroit_0381,detroit,197.68,1.26,5.0,0.658
houston_0932,houston,16.64,1.38,5.0,0.666
chicago_0703,chicago,185.56,7.23,31.0,3.035
vancouver_0036,vancouver,28.12,4.47,16.0,1.31
cairo_1242,cairo,426.04,11.21,35.0,2.853
lasvegas_1053,lasvegas,542.64,2.0,7.0,0.887
houston_0661,houston,20.32,2.36,9.0,1.134
miami_0115,miami,9.24,1.21,5.0,0.553
orlando_0495,orlando,37.16,3.54,14.0,1.532
chennai_0194,chennai,14.04,1.78,6.0,0.857
denver_0277,denver,1650.76,5.57,20.0,1.642
sapporo_0339,sapporo,9.72,1.46,6.0,0.632
hanoi_2895,hanoi,7.6,1.3,5.0,0.642
brussels_0010,brussels,29.32,7.65,26.0,2.063
cleveland_0375,cleveland,207.96,3.01,12.0,1.085
lasvegas_1018,lasvegas,536.28,2.03,8.0,0.799
phoenix_1010,phoenix,333.36,2.22,9.0,0.931
houston_1050,houston,23.6,1.81,8.0,0.726
houston_0393,houston,27.88,1.68,7.0,0.645
bangkok_0011,bangkok,5.08,1.57,6.0,0.768
minneapolis_0733,minneapolis,288.68,3.37,13.0,0.982
sapporo_0521,sapporo,9.76,1.61,6.0,0.704
portland_0099,portland,164.68,19.29,62.0,5.29
sapporo_0464,sapporo,13.2,1.41,6.0,0.668
tehran_0131,tehran,1228.44,5.77,23.0,1.686
chandigarh_0170,chandigarh,343.6,4.26,17.0,1.465
chicago_0603,chicago,183.56,2.55,12.0,1.241
tehran_0893,tehran,1181.16,13.85,49.0,3.567
orlando_0475,orlando,26.24,3.77,15.0,1.437
phoenix_0883,phoenix,325.8,2.59,10.0,1.033
orlando_0807,orlando,39.24,2.7,13.0,1.296
lasvegas_0494,lasvegas,698.12,4.24,14.0,1.114
phoenix_0967,phoenix,380.36,3.22,13.0,0.919
minneapolis_0495,minneapolis,258.36,2.19,9.0,0.797
marrakesh_0016,marrakesh,482.04,3.45,12.0,1.021
brasilia_0575,brasilia,1195.4,13.75,49.0,3.628
houston_0761,houston,26.0,1.62,6.0,0.675
phoenix_1260,phoenix,435.88,2.6,9.0,0.966
orlando_0802,orlando,38.12,2.85,13.0,1.378
portland_0443,portland,65.32,5.36,28.0,1.57
saltlakecity_0150,saltlakecity,1293.76,2.16,8.0,0.827
cairo_0596,cairo,107.64,5.57,21.0,1.705
phoenix_1129,phoenix,369.64,3.85,16.0,0.994
kyoto_0307,kyoto,52.44,4.61,17.0,1.191
sapporo_0053,sapporo,8.04,1.64,7.0,0.578
cairo_1198,cairo,332.96,6.69,29.0,1.961
phoenix_0786,phoenix,402.04,2.07,9.0,0.894
bangkok_1023,bangkok,6.72,1.54,5.0,0.679
orlando_0326,orlando,34.12,3.92,22.0,1.719
houston_0817,houston,17.32,1.62,8.0,0.732
bratislava_0002,bratislava,155.52,10.77,35.0,2.596
phoenix_0966,phoenix,376.28,2.92,13.0,0.953
chennai_0427,chennai,4.68,2.78,9.0,1.04
tehran_0534,tehran,1098.4,3.02,12.0,1.292
chicago_0728,chicago,182.2,1.85,7.0,0.807
portland_0418,portland,66.6,10.86,34.0,2.745
phoenix_1543,phoenix,454.48,2.58,11.0,0.793
buenosaires_0227,buenosaires,15.52,2.87,12.0,1.194
portland_0475,portland,4.96,2.95,11.0,0.965
adelaide_1330,adelaide,104.0,9.92,41.0,2.472
sapporo_0330,sapporo,36.96,2.42,8.0,0.831
lasvegas_0674,lasvegas,641.12,4.11,17.0,1.2
toronto_0034,toronto,136.72,3.11,12.0,1.145
houston_0024,houston,28.68,2.41,9.0,0.969
phoenix_0629,phoenix,330.32,2.31,9.0,1.01
denver_0065,denver,1643.6,9.73,34.0,2.679
lasvegas_0280,lasvegas,733.84,6.14,20.0,1.619
sapporo_0300,sapporo,25.92,3.9,18.0,1.268
chicago_0357,chicago,183.32,1.59,6.0,0.628
denver_0294,denver,1653.44,5.76,21.0,1.621
cairo_0493,cairo,105.4,7.65,31.0,2.728
saltlakecity_0153,saltlakecity,1293.04,1.68,7.0,0.655
budapest_0788,budapest,150.8,9.18,28.0,2.337
cairo_1969,cairo,230.68,3.39,14.0,0.995
houston_0561,houston,31.16,1.41,7.0,0.56
hanoi_0830,hanoi,18.24,2.34,12.0,1.004
phoenix_0942,phoenix,343.28,3.35,13.0,1.178
portland_0467,portland,89.04,2.05,9.0,0.901
quito_0454,quito,2818.92,74.68,350.0,19.715
bogota_0302,bogota,2556.08,2.78,12.0,1.244
lasvegas_0812,lasvegas,570.76,3.34,13.0,1.203
orlando_0687,orlando,35.52,3.48,20.0,1.307
minneapolis_0744,minneapolis,280.92,3.67,12.0,1.521
detroit_0266,detroit,185.0,1.77,7.0,0.663
phoenix_1483,phoenix,432.92,2.15,10.0,0.72
phoenix_0570,phoenix,335.64,2.13,9.0,0.945
phoenix_1184,phoenix,358.6,3.46,12.0,1.01
phoenix_0637,phoenix,354.04,1.93,7.0,0.754
orlando_0675,orlando,35.52,3.86,14.0,1.465
bangkok_1707,bangkok,4.96,1.87,9.0,0.956
bangkok_1486,bangkok,2.16,2.24,9.0,1.085
cleveland_0138,cleveland,229.76,2.89,12.0,1.21
houston_0338,houston,24.88,4.98,23.0,2.055
cleveland_0041,cleveland,204.0,4.05,13.0,1.126
