patch_id,city_code,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex
houston_0051,houston,3,30203.81,4778.95,0.1582,0.9926,0.4808,0.5012,0.952
houston_0346,houston,3,26493.12,764.22,0.0288,0.9851,0.344,0.3315,0.948
houston_0455,houston,14,19579.18,20851.09,1.065,0.9913,0.2785,0.2624,0.9758
houston_0854,houston,7,1213.96,456.03,0.3757,0.9543,0.1273,0.1153,0.9489
houston_0297,houston,15,17487.97,23475.98,1.3424,0.9902,0.2684,0.2458,0.9904
houston_0824,houston,21,15681.79,3153.95,0.2011,0.9965,0.4718,0.479,0.995
houston_0956,houston,9,3209.38,3340.56,1.0409,0.9317,0.1693,0.1859,0.96
houston_1618,houston,2,2696.22,1031.8,0.3827,0.8989,0.086,0.0894,0.9873
houston_0927,houston,1,25409.25,0.0,0.0,0.9999,0.3018,0.2572,0.9991
houston_0337,houston,2,1890.13,623.4,0.3298,0.9177,0.1682,0.1741,0.9345
houston_0830,houston,14,8564.52,2533.47,0.2958,0.9822,0.5594,0.7339,0.9872
houston_0413,houston,6,6834.41,4380.14,0.6409,0.9398,0.2599,0.2761,0.9135
houston_0687,houston,18,12178.58,16158.99,1.3268,0.9508,0.3418,0.4047,0.9156
houston_0510,houston,19,12410.09,21397.71,1.7242,0.9697,0.2846,0.301,0.9595
houston_0868,houston,20,12402.6,16605.07,1.3388,0.9542,0.4722,0.7234,0.9494
houston_0341,houston,20,9754.06,9144.7,0.9375,0.9453,0.3692,0.4768,0.9248
houston_1044,houston,15,24355.15,23281.72,0.9559,0.9764,0.4878,0.6557,0.9639
houston_0940,houston,21,17304.75,11351.73,0.656,0.984,0.3266,0.3234,0.9677
houston_0680,houston,0,,,,,,,
houston_1303,houston,3,62333.68,13394.97,0.2149,0.9796,0.4888,0.5559,0.9708
houston_0010,houston,6,6331.99,6346.87,1.0023,0.8989,0.314,0.3765,0.8531
houston_0210,houston,18,14138.97,21126.85,1.4942,0.9675,0.2378,0.2477,0.9769
houston_1163,houston,20,19248.3,36498.23,1.8962,0.9599,0.2794,0.3306,0.9498
houston_1544,houston,12,22879.61,19616.39,0.8574,0.8899,0.2023,0.238,0.8715
houston_0141,houston,6,15803.23,10757.03,0.6807,0.9827,0.4759,0.5304,0.9659
houston_1227,houston,9,15989.63,8394.05,0.525,0.9522,0.3575,0.3853,0.9401
houston_0597,houston,9,28535.72,31563.41,1.1061,0.9871,0.2542,0.2747,0.9922
houston_1030,houston,18,7985.09,5827.78,0.7298,0.9884,0.3988,0.4784,0.9841
houston_0748,houston,1,12324.25,0.0,0.0,1.0,0.5107,0.5046,0.9998
houston_0858,houston,9,16690.39,22509.02,1.3486,0.918,0.2005,0.222,0.8985
houston_0360,houston,8,29737.01,10933.37,0.3677,0.9756,0.2737,0.2521,0.9628
houston_0546,houston,17,6777.02,3688.05,0.5442,0.9546,0.3817,0.4517,0.9938
houston_1475,houston,9,3660.06,3323.46,0.908,0.7798,0.2127,0.4013,0.7887
houston_0862,houston,4,5158.08,5996.35,1.1625,0.9408,0.2684,0.3216,0.9117
houston_1183,houston,8,12008.43,13585.31,1.1313,0.943,0.1937,0.1958,0.92
houston_1103,houston,11,5840.57,6186.92,1.0593,0.9962,0.3475,0.415,0.9983
istanbul_1545,istanbul,20,11994.47,10215.15,0.8517,0.9902,0.4218,0.4073,0.9903
istanbul_0092,istanbul,21,8008.14,3112.93,0.3887,0.9966,0.5117,0.5776,0.9976
istanbul_0996,istanbul,6,12459.25,25109.34,2.0153,0.9904,0.3449,0.309,0.9954
istanbul_1183,istanbul,0,,,,,,,
istanbul_2545,istanbul,83,5383.76,2932.61,0.5447,0.9857,0.4311,0.4916,0.9864
istanbul_0770,istanbul,4,22851.14,12962.25,0.5672,0.9882,0.4467,0.4841,0.9952
istanbul_0088,istanbul,57,6022.47,3863.61,0.6415,0.982,0.4581,0.5442,0.9852
