patch_id,city_code,n_nodes_used,n_edges_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density
bergen_0177,bergen,302,376,16,187,74,0.05298,0.619205,0.245033,2.4901,36.02,13543.64,0.125209,471.87,21.1619
bergen_0091,bergen,128,146,2,73,41,0.015625,0.570312,0.320312,2.2812,43.34,6327.06,0.075697,200.0,9.886
bergen_0127,bergen,118,158,4,87,15,0.033898,0.737288,0.127119,2.678,57.56,9094.42,0.177489,184.37,14.21
bergen_0350,bergen,227,261,8,122,76,0.035242,0.537445,0.334802,2.2996,41.44,10814.84,0.077951,354.69,16.8982
bergen_0265,bergen,43,52,0,27,9,0.0,0.627907,0.209302,2.4186,105.2,5470.58,0.123457,67.19,8.5478
bergen_0244,bergen,60,66,1,33,23,0.016667,0.55,0.383333,2.2,81.42,5373.46,0.06087,93.75,8.396
bergen_0336,bergen,442,571,72,224,117,0.162896,0.506787,0.264706,2.5837,37.58,21457.97,0.147895,690.62,33.5281
bergen_0533,bergen,57,60,0,30,24,0.0,0.526316,0.421053,2.1053,52.76,3165.82,0.036697,89.06,4.9466
bergen_0329,bergen,391,459,22,213,124,0.056266,0.544757,0.317136,2.3478,37.39,17163.51,0.088803,610.94,26.818
bergen_0126,bergen,194,247,14,118,43,0.072165,0.608247,0.221649,2.5464,30.56,7549.46,0.140992,303.12,11.796
bergen_0216,bergen,303,375,34,160,84,0.112211,0.528053,0.277228,2.4752,40.83,15313.11,0.121464,473.44,23.9267
bergen_0585,bergen,123,146,4,71,33,0.03252,0.577236,0.268293,2.374,67.97,9923.7,0.099585,192.19,15.5058
bergen_0605,bergen,40,44,3,15,13,0.075,0.375,0.325,2.2,93.55,4116.06,0.066667,62.5,6.4314
bergen_0560,bergen,119,144,7,68,32,0.058824,0.571429,0.268908,2.4202,51.76,7453.88,0.111588,185.94,11.6467
bergen_0217,bergen,159,177,10,77,61,0.062893,0.484277,0.383648,2.2264,55.09,9750.91,0.060703,248.44,15.2358
bergen_0369,bergen,349,416,38,165,116,0.108883,0.472779,0.332378,2.384,38.2,15892.92,0.098124,545.31,24.8327
bergen_0311,bergen,184,221,22,85,58,0.119565,0.461957,0.315217,2.4022,52.24,11545.29,0.104683,287.5,18.0395
birmingham_0152,birmingham,227,301,45,108,56,0.198238,0.475771,0.246696,2.652,43.64,13136.36,0.167038,354.69,20.5256
birmingham_0287,birmingham,107,115,5,49,43,0.046729,0.457944,0.401869,2.1495,63.08,7254.57,0.043062,167.19,11.3353
birmingham_0190,birmingham,240,322,27,148,41,0.1125,0.616667,0.170833,2.6833,41.7,13428.07,0.174737,375.0,20.9814
birmingham_0272,birmingham,119,140,7,65,37,0.058824,0.546218,0.310924,2.3529,55.48,7767.68,0.094421,185.94,12.137
birmingham_0131,birmingham,125,140,8,62,48,0.064,0.496,0.384,2.24,24.15,3381.37,0.065306,195.31,5.2834
birmingham_0435,birmingham,124,155,20,57,38,0.16129,0.459677,0.306452,2.5,49.95,7742.13,0.131687,193.75,12.0971
birmingham_0223,birmingham,199,242,10,114,54,0.050251,0.572864,0.271357,2.4322,50.11,12127.45,0.111959,310.94,18.9491
birmingham_0040,birmingham,137,170,5,85,32,0.036496,0.620438,0.233577,2.4818,58.09,9875.67,0.126394,214.06,15.4307
birmingham_0068,birmingham,212,291,30,126,34,0.141509,0.59434,0.160377,2.7453,43.12,12548.4,0.190931,331.25,19.6069
birmingham_0043,birmingham,224,282,14,137,52,0.0625,0.611607,0.232143,2.5179,50.01,14104.12,0.133183,350.0,22.0377
birmingham_0339,birmingham,116,150,16,61,28,0.137931,0.525862,0.241379,2.5862,60.73,9109.87,0.154185,181.25,14.2342
birmingham_0081,birmingham,204,282,16,147,23,0.078431,0.720588,0.112745,2.7647,39.19,11051.86,0.19603,318.75,17.2685
