patch_id,city_code,patch_idx,centroid_lat,centroid_lon,minx_utm,miny_utm,maxx_utm,maxy_utm,crs_utm,n_segments,n_intersections,n_nodes_in_patch,n_components,n_nodes_largest,largest_fraction,entropy_raw,entropy_normalised,entropy_weighted_raw,entropy_weighted_norm,phi,n_edges_used,n_nodes_used,n_4way,n_3way,n_deadend,proportion_4way,proportion_3way,proportion_deadend,mean_degree,mean_edge_length,total_edge_length,meshedness,intersection_density,street_density,circuity,n_blocks,mean_block_area,std_block_area,cv_block_area,mean_block_eri,mean_block_compact,mean_block_elong,mean_block_convex,n_buildings,building_density,mean_building_footprint,std_building_footprint,mean_nn_distance,std_nn_distance
chicago_0673,chicago,673,41.676538,-87.635442,446708.44,4613658.65,447508.44,4614458.65,EPSG:32616,1572,407,407,6,402,0.9877,1.594791,0.445035,1.588101,0.443168,0.990996,1412,402,259,108,18,0.644279,0.268657,0.044776,3.5124,36.78,25968.54,0.381727,628.12,40.5758,1.010824,13,21868.54,5409.09,0.2473,0.9989,0.5114,0.5326,0.9975,1133.0,0.1896,107.1,100.78,11.81,5.24
detroit_0203,detroit,203,42.389161,-83.169082,321056.5,4694864.74,321856.5,4695664.74,EPSG:32617,446,120,120,3,118,0.9833,1.481919,0.413537,1.334064,0.372278,0.998106,392,118,60,44,8,0.508475,0.372881,0.067797,3.322,74.97,14693.32,0.341991,184.37,22.9583,1.000011,24,18394.73,4284.05,0.2329,0.9998,0.4682,0.454,0.9996,36.0,0.0276,491.15,912.41,39.8,38.08
chicago_0346,chicago,346,41.784223,-87.703894,441108.44,4625658.65,441908.44,4626458.65,EPSG:32616,1808,464,464,1,464,1.0,1.563364,0.436265,1.506341,0.420353,0.993506,1618,464,279,147,16,0.601293,0.31681,0.034483,3.5043,38.14,31010.19,0.379198,725.0,48.4534,1.01061,9,27123.0,9505.31,0.3505,0.9994,0.4753,0.4991,0.9987,1830.0,0.3126,109.31,147.52,9.65,3.84
chicago_0542,chicago,542,41.798863,-87.665537,444308.44,4627258.65,445108.44,4628058.65,EPSG:32616,1938,477,477,3,475,0.9958,1.522612,0.424893,1.427105,0.398241,0.996151,1750,475,346,111,3,0.728421,0.233684,0.006316,3.6842,36.49,31932.27,0.424339,742.19,49.8942,1.006045,24,17878.32,5972.6,0.3341,0.9991,0.4471,0.4359,0.9993,1092.0,0.1855,108.7,128.32,11.11,6.44
detroit_0414,detroit,414,42.455227,-83.10326,326656.5,4702064.74,327456.5,4702864.74,EPSG:32617,1034,263,263,1,263,1.0,1.426582,0.398095,1.365582,0.381073,0.999664,922,263,151,98,4,0.574144,0.372624,0.015209,3.5057,41.87,19302.71,0.381958,410.94,30.1605,1.004194,12,22386.94,1247.1,0.0557,0.9999,0.3574,0.3109,0.9988,1244.0,0.1643,84.5,116.59,13.1,4.15
denver_0242,denver,242,39.757444,-104.955898,503377.82,4400437.36,504177.82,4401237.36,EPSG:32613,988,298,298,1,298,1.0,1.563423,0.436282,1.433605,0.400055,0.993501,910,298,174,41,74,0.583893,0.137584,0.248322,3.0671,49.54,22640.15,0.270728,465.62,35.3752,1.004328,5,14679.37,90.02,0.0061,0.9997,0.6117,0.7508,0.9966,1095.0,0.1742,101.83,138.38,12.39,3.89
detroit_0058,detroit,58,42.37402,-83.207426,317856.5,4693264.74,318656.5,4694064.74,EPSG:32617,898,218,218,1,218,1.0,1.48051,0.413144,1.334673,0.372448,0.998161,772,218,134,72,4,0.614679,0.330275,0.018349,3.5413,50.35,19434.68,0.392111,340.62,30.3667,0.999914,14,24748.71,711.14,0.0287,1.0,0.4375,0.3998,1.0,679.0,0.0914,86.12,89.86,15.19,7.75
detroit_0494,detroit,494,42.434334,-83.063658,329856.5,4699664.74,330656.5,4700464.74,EPSG:32617,558,141,141,1,141,1.0,1.592309,0.444342,1.604268,0.447679,0.991209,438,141,42,77,5,0.297872,0.546099,0.035461,3.1064,60.33,13213.28,0.285199,220.31,20.6458,1.016113,11,33794.61,26300.23,0.7782,0.9983,0.4034,0.3735,0.9955,105.0,0.0328,199.94,785.25,16.81,14.36
chicago_0563,chicago,563,41.950168,-87.667109,444308.44,4644058.65,445108.44,4644858.65,EPSG:32616,1934,498,498,3,496,0.996,1.46633,0.409187,1.397822,0.39007,0.998673,1770,496,327,137,13,0.659274,0.27621,0.02621,3.5685,35.68,31573.88,0.395137,775.0,49.3342,1.003007,19,20328.57,7975.0,0.3923,0.9987,0.4586,0.459,0.9988,1853.0,0.3592,124.05,184.83,9.36,4.09
chicago_0302,chicago,302,41.769754,-87.713361,440308.44,4624058.65,441108.44,4624858.65,EPSG:32616,1156,301,301,1,301,1.0,1.578313,0.440437,1.552414,0.433209,0.992363,1024,301,180,87,25,0.598007,0.289037,0.083056,3.402,42.14,21576.15,0.355109,470.31,33.7127,1.003026,11,19161.62,3251.04,0.1697,0.9997,0.5249,0.5454,0.9999,1389.0,0.1677,77.27,47.88,9.76,3.04
